method_raw,published_axis_score,method_id,recomputed_axis_score,perturbation_axis,abs_diff
ivis,0.5059534193078405,IVIS,0.5056736842105264,dropout,0.0002797350973141599
PCA,0.6081452808882156,PCA,0.5800210526315789,dropout,0.02812422825663674
PHATE,0.6866938421518171,PHATE,0.6348736842105263,dropout,0.0518201579412908
PaCMAP,0.1356408281333702,PaCMAP,0.2612,dropout,0.1255591718666298
ParametricUMAP200,0.7479939184828115,Parametric UMAP 200,0.6428631578947368,dropout,0.10513076058807469
ParametricUMAP50,0.7199707532023074,Parametric UMAP 50,0.6292526315789473,dropout,0.09071812162336013
SAUCIE,0.1203870940725305,SAUCIE,0.23470526315789475,dropout,0.11431816908536425
SCDRHA,0.4213656645124295,SCDRHA,0.4144,dropout,0.006965664512429526
SIMLR,0.7347885983235841,SIMLR,0.6229894736842105,dropout,0.11179912463937358
SPDR,0.7858076853041296,SPDR,0.6659052631578948,dropout,0.11990242214623481
SQuaD_MDS,0.4605976736673461,SQuaD-MDS,0.46549473684210535,dropout,0.004897063174759242
SQuaD_MDS_hybrid,0.6846167699917001,SQuaD-MDS hybrid,0.5546631578947367,dropout,0.12995361209696332
SSNMDI,0.1049516629520352,SSNMDI,0.22827368421052632,dropout,0.12332202125849112
TriMap,0.8059760791111067,TriMap,0.6790421052631579,dropout,0.1269339738479488
UMAP,0.7291739910202365,UMAP,0.6171578947368421,dropout,0.11201609628339437
VAE,0.6440316242864108,VAE,0.5672842105263157,dropout,0.07674741376009508
,,VASC,0.24136000000000002,dropout,
ZIFA,0.6658250217671839,ZIFA,0.6369894736842105,dropout,0.028835548082973395
pCMF,0.1325848821346411,pCMF,0.24283157894736843,dropout,0.11024669681272734
scGAE,0.2501117492795352,scGAE,0.30317894736842105,dropout,0.053067198088885825
scGBM,0.6220572274782826,scGBM,0.5931263157894737,dropout,0.028930911688808902
scScope,0.1955885016766765,scScope,0.28287368421052633,dropout,0.08728518253384984
scvis,0.1666444455347927,scvis,0.28143157894736837,dropout,0.11478713341257565
TSNE,0.718298695448338,t-SNE,0.6262105263157894,dropout,0.09208816913254858
tGPLVM,0.3236951819991585,tGPLVM,0.3864526315789474,dropout,0.0627574495797889
DRA,0.1268352225840869,DRA,0.24742105263157893,gene_number,0.12058583004749204
DREAM,0.3159615557998821,DREAM,0.36839999999999995,gene_number,0.05243844420011784
EDGE,0.7068173817801396,EDGE,0.6272315789473684,gene_number,0.07958580283277128
GLMPCA,0.6845245728826419,GLMPCA,0.6152210526315789,gene_number,0.06930352025106301
ivis,0.5644777049135854,IVIS,0.5573263157894738,gene_number,0.007151389124111618
PCA,0.7001763037498774,PCA,0.6424736842105264,gene_number,0.05770261953935096
PHATE,0.7841433984560197,PHATE,0.7039368421052632,gene_number,0.08020655635075646
PaCMAP,0.1267127735312762,PaCMAP,0.2527578947368421,gene_number,0.12604512120556594
ParametricUMAP200,0.7999898917236961,Parametric UMAP 200,0.6890315789473684,gene_number,0.11095831277632762
ParametricUMAP50,0.7907192062802133,Parametric UMAP 50,0.687821052631579,gene_number,0.1028981536486343
SAUCIE,0.1120970586575799,SAUCIE,0.23616842105263153,gene_number,0.12407136239505162
SCDRHA,0.6064762149337747,SCDRHA,0.5418736842105263,gene_number,0.0646025307232484
SIMLR,0.8370057719138172,SIMLR,0.6897157894736842,gene_number,0.14728998244013303
SPDR,0.8189764504787866,SPDR,0.6789157894736843,gene_number,0.1400606610051024
SQuaD_MDS,0.4692071435395464,SQuaD-MDS,0.47584210526315796,gene_number,0.006634961723611554
SQuaD_MDS_hybrid,0.7475143360739172,SQuaD-MDS hybrid,0.630221052631579,gene_number,0.11729328344233814
SSNMDI,0.1157900611119457,SSNMDI,0.23791578947368422,gene_number,0.12212572836173852
TriMap,0.8512334683184696,TriMap,0.7201473684210526,gene_number,0.13108609989741693
UMAP,0.7935960101449436,UMAP,0.6827789473684212,gene_number,0.11081706277652248
VAE,0.7807259917859365,VAE,0.6625578947368421,gene_number,0.11816809704909437
,,VASC,0.2601333333333333,gene_number,
ZIFA,0.6908678322810575,ZIFA,0.6339473684210526,gene_number,0.05692046386000493
pCMF,0.0979905853096566,pCMF,0.21900000000000003,gene_number,0.12100941469034343
scGAE,0.3510799672265158,scGAE,0.3621157894736843,gene_number,0.01103582224716848
scGBM,0.6668585133548699,scGBM,0.6105789473684211,gene_number,0.05627956598644879
scScope,0.4071308257928955,scScope,0.42552631578947364,gene_number,0.01839548999657814
scvis,0.1444898949919613,scvis,0.27509473684210517,gene_number,0.13060484185014387
TSNE,0.7953373267485098,t-SNE,0.6645052631578947,gene_number,0.13083206359061506
tGPLVM,0.6634920964625806,tGPLVM,0.6178000000000001,gene_number,0.045692096462580434
DRA,0.1158981811977128,DRA,0.24609473684210528,out,0.13019655564439248
DREAM,0.1853637365239483,DREAM,0.29167368421052625,out,0.10630994768657795
EDGE,0.7668973857182563,EDGE,0.6867789473684212,out,0.08011843834983512
GLMPCA,0.7124871307346232,GLMPCA,0.6524526315789474,out,0.060034499155675825
ivis,0.3879464112942643,IVIS,0.42926315789473685,out,0.04131674660047252
PCA,0.7315586445677992,PCA,0.6757894736842105,out,0.05576917088358868
PHATE,0.7813167532325929,PHATE,0.7193368421052632,out,0.0619799111273297
PaCMAP,0.1318758497676365,PaCMAP,0.26825263157894735,out,0.13637678181131085
ParametricUMAP200,0.8143651431163864,Parametric UMAP 200,0.7223263157894737,out,0.09203882732691271
ParametricUMAP50,0.8024862759317974,Parametric UMAP 50,0.7116105263157895,out,0.09087574961600797
SAUCIE,0.108303561883114,SAUCIE,0.24548421052631575,out,0.13718064864320173
SCDRHA,0.6141812752529228,SCDRHA,0.5414210526315789,out,0.07276022262134385
SIMLR,0.8387094083943897,SIMLR,0.6898210526315789,out,0.1488883557628108
SPDR,0.8214120005093969,SPDR,0.6911473684210526,out,0.13026463208834427
SQuaD_MDS,0.487793790407442,SQuaD-MDS,0.5024421052631578,out,0.014648314855715827
SQuaD_MDS_hybrid,0.7884464321838364,SQuaD-MDS hybrid,0.6766947368421052,out,0.11175169534173113
SSNMDI,0.0998644063398621,SSNMDI,0.22789473684210523,out,0.12803033050224313
TriMap,0.8441076213470406,TriMap,0.7185368421052633,out,0.1255707792417774
UMAP,0.8009498387535391,UMAP,0.7059894736842105,out,0.09496036506932859
VAE,0.7733149671302559,VAE,0.661978947368421,out,0.11133601976183494
,,VASC,0.25156,out,
ZIFA,0.72476254464467,ZIFA,0.6717052631578948,out,0.05305728148677524
pCMF,0.0867358942694987,pCMF,0.2114526315789474,out,0.1247167373094487
scGAE,0.1525634306687256,scGAE,0.25265263157894735,out,0.10008920091022175
scGBM,0.6967254333278222,scGBM,0.6471894736842105,out,0.04953595964361168
scScope,0.1467617060364649,scScope,0.26191578947368416,out,0.11515408343721925
scvis,0.0843209295006849,scvis,0.22541052631578945,out,0.14108959681510455
TSNE,0.803903792769977,t-SNE,0.6828421052631579,out,0.12106168750681912
tGPLVM,0.7239743458621144,tGPLVM,0.6737684210526316,out,0.05020592480948283
