method_id,family_short,dataset_id,perturbation_axis,score
ZIFA,linear,celltype_15,celltype_number,0.3356842105263158
IVIS,metric,celltype_15,celltype_number,0.2317894736842105
pCMF,linear,celltype_15,celltype_number,0.1752105263157894
scGAE,deep,celltype_15,celltype_number,0.188578947368421
scGBM,linear,celltype_15,celltype_number,0.361578947368421
scScope,deep,celltype_15,celltype_number,0.2145263157894736
scvis,deep,celltype_15,celltype_number,0.2502777777777777
tGPLVM,linear,celltype_15,celltype_number,0.1901578947368421
DRA,deep,batch_2,batch_number,0.2397368421052631
DREAM,deep,batch_2,batch_number,0.3166842105263159
EDGE,graph,batch_2,batch_number,0.5787368421052633
GLMPCA,linear,batch_2,batch_number,0.5128947368421052
PCA,linear,batch_2,batch_number,0.5305263157894737
PHATE,graph,batch_2,batch_number,0.6715263157894737
PaCMAP,metric,batch_2,batch_number,0.2377368421052631
SAUCIE,deep,batch_2,batch_number,0.2316842105263158
SCDRHA,deep,batch_2,batch_number,0.5817368421052631
SIMLR,graph,batch_2,batch_number,0.6374736842105262
SPDR,graph,batch_2,batch_number,0.6215263157894737
SQuaD-MDS,metric,batch_2,batch_number,0.4616315789473684
SSNMDI,linear,batch_2,batch_number,0.2296842105263158
t-SNE,metric,batch_2,batch_number,0.6687368421052632
TriMap,metric,batch_2,batch_number,0.6560526315789473
UMAP,graph,batch_2,batch_number,0.6102631578947368
VAE,deep,batch_2,batch_number,0.6282105263157893
ZIFA,linear,batch_2,batch_number,0.5287368421052631
IVIS,metric,batch_2,batch_number,0.3892631578947368
pCMF,linear,batch_2,batch_number,0.1941052631578947
scGAE,deep,batch_2,batch_number,0.2931578947368421
scGBM,linear,batch_2,batch_number,0.516578947368421
scScope,deep,batch_2,batch_number,0.2177894736842105
scvis,deep,batch_2,batch_number,0.256315789473684
tGPLVM,linear,batch_2,batch_number,0.5457894736842106
DRA,deep,batch_4,batch_number,0.2069999999999999
DREAM,deep,batch_4,batch_number,0.3612105263157894
EDGE,graph,batch_4,batch_number,0.5561052631578947
GLMPCA,linear,batch_4,batch_number,0.5598947368421052
PCA,linear,batch_4,batch_number,0.5708947368421055
PHATE,graph,batch_4,batch_number,0.6501578947368423
PaCMAP,metric,batch_4,batch_number,0.2400526315789473
SAUCIE,deep,batch_4,batch_number,0.2775263157894737
SCDRHA,deep,batch_4,batch_number,0.5519999999999999
