dataset_id,method_raw,metric,metric_value,component_domain,perturbation_axis,axis_order,method_id,parent_method,parameter_label,method_family,method_order
cell_100,PaCMAP,ARI,-0.02,cluster,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,NMI,0.04,cluster,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,SIL,0.49,cluster,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,COMP,0.04,cluster,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,PaCMAP,HOMO,0.04,cluster,cell_number,1,PaCMAP,PaCMAP,100,metric/structure-aware,23.0
cell_100,ParametricUMAP200,knn_30,0.82,local,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,svm,0.89,local,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,nkr_30,0.345,local,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,aji_30,0.194,local,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,random_triplet,0.566,global,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,spearman,0.077,global,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,k-nearest,0.0,global,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,centroid_distance,0.396,global,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,T_30,0.61,local,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,C_30,0.553,local,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,Mrre_false_30,0.582,local,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,Mrre_missing_30,0.615,local,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,Pearson,0.214,global,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,nh_30,0.579,local,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,ARI,0.72,cluster,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,NMI,0.75,cluster,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,SIL,0.44,cluster,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,COMP,0.74,cluster,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP200,HOMO,0.75,cluster,cell_number,1,Parametric UMAP 200,UMAP,100,graph/diffusion,17.2
cell_100,ParametricUMAP50,knn_30,0.78,local,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,svm,0.91,local,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,nkr_30,0.354,local,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,aji_30,0.205,local,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,random_triplet,0.572,global,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,spearman,0.096,global,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,k-nearest,0.0,global,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,centroid_distance,0.402,global,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,T_30,0.615,local,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,C_30,0.567,local,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,Mrre_false_30,0.585,local,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,Mrre_missing_30,0.608,local,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,Pearson,0.219,global,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,nh_30,0.564,local,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,ARI,0.54,cluster,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,NMI,0.66,cluster,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,SIL,0.41,cluster,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,COMP,0.66,cluster,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,ParametricUMAP50,HOMO,0.67,cluster,cell_number,1,Parametric UMAP 50,UMAP,100,graph/diffusion,17.1
cell_100,SAUCIE,knn_30,0.26,local,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,svm,0.3,local,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,nkr_30,0.275,local,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,aji_30,0.185,local,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,random_triplet,0.49,global,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,spearman,0.037,global,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,k-nearest,0.8,global,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,centroid_distance,0.564,global,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,T_30,0.569,local,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,C_30,0.473,local,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,Mrre_false_30,0.501,local,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
