method_raw,method_id,parent_method,perturbation_axis,score,source_file
DREAM,DREAM,DREAM,de_prob,0.4931920378563125,metric\score\stability\de_prob.csv
EDGE,EDGE,EDGE,de_prob,0.6957527926043161,metric\score\stability\de_prob.csv
GLMPCA,GLMPCA,GLMPCA,de_prob,0.7033934583945955,metric\score\stability\de_prob.csv
PCA,PCA,PCA,de_prob,0.7185274215841633,metric\score\stability\de_prob.csv
PHATE,PHATE,PHATE,de_prob,0.7602835786759344,metric\score\stability\de_prob.csv
PaCMAP,PaCMAP,PaCMAP,de_prob,0.1442852232794601,metric\score\stability\de_prob.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,de_prob,0.759441608993485,metric\score\stability\de_prob.csv
ParametricUMAP50,Parametric UMAP 50,UMAP,de_prob,0.7633340815143081,metric\score\stability\de_prob.csv
SAUCIE,SAUCIE,SAUCIE,de_prob,0.1208845555915354,metric\score\stability\de_prob.csv
SCDRHA,SCDRHA,SCDRHA,de_prob,0.6195030601711375,metric\score\stability\de_prob.csv
SIMLR,SIMLR,SIMLR,de_prob,0.783084122225534,metric\score\stability\de_prob.csv
SPDR,SPDR,SPDR,de_prob,0.7952325699240155,metric\score\stability\de_prob.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,de_prob,0.493623263212784,metric\score\stability\de_prob.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,de_prob,0.7128200373851867,metric\score\stability\de_prob.csv
SSNMDI,SSNMDI,SSNMDI,de_prob,0.113809239271635,metric\score\stability\de_prob.csv
TSNE,t-SNE,t-SNE,de_prob,0.7771813927839413,metric\score\stability\de_prob.csv
TriMap,TriMap,TriMap,de_prob,0.8126512024667181,metric\score\stability\de_prob.csv
UMAP,UMAP,UMAP,de_prob,0.6916536163875884,metric\score\stability\de_prob.csv
VAE,VAE,VAE,de_prob,0.7556558274408287,metric\score\stability\de_prob.csv
ZIFA,ZIFA,ZIFA,de_prob,0.7139013804454073,metric\score\stability\de_prob.csv
ivis,IVIS,IVIS,de_prob,0.6314717928546049,metric\score\stability\de_prob.csv
pCMF,pCMF,pCMF,de_prob,0.1021008740156151,metric\score\stability\de_prob.csv
scGAE,scGAE,scGAE,de_prob,0.4748586128830068,metric\score\stability\de_prob.csv
scGBM,scGBM,scGBM,de_prob,0.6794514760435607,metric\score\stability\de_prob.csv
scScope,scScope,scScope,de_prob,0.3193103534510967,metric\score\stability\de_prob.csv
scvis,scvis,scvis,de_prob,0.137045855559145,metric\score\stability\de_prob.csv
