method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,source_file
SSNMDI,0.04,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
tGPLVM,0.39,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
SQuaD_MDS,0.71,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
GLMPCA,0.78,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
PaCMAP,0.04,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
ParametricUMAP200,0.84,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
scScope,0.82,scScope,scScope,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
scvis,0.83,scvis,scvis,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
EDGE,0.53,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
TriMap,0.89,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
ParametricUMAP50,0.84,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
DRA,0.02,DRA,DRA,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
SIMLR,0.88,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
SAUCIE,0.38,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
PCA,0.6,PCA,PCA,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
PHATE,0.83,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,HOMO,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_HOMO.csv
ivis,0.69,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
scGAE,0.61,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
VASC,0.76,VASC,VASC,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
scGBM,0.62,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
SPDR,0.76,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
pCMF,0.32,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
SQuaD_MDS_hybrid,0.67,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
SCDRHA,0.69,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
TSNE,0.71,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
UMAP,0.68,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
VAE,0.71,VAE,VAE,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
DREAM,0.46,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
ZIFA,0.51,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
SSNMDI,0.03,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
tGPLVM,0.32,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
SQuaD_MDS,0.58,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
GLMPCA,0.64,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
PaCMAP,0.03,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
ParametricUMAP200,0.69,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
scScope,0.67,scScope,scScope,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
scvis,0.7,scvis,scvis,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
EDGE,0.42,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
TriMap,0.73,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
ParametricUMAP50,0.69,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
DRA,0.02,DRA,DRA,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
SIMLR,0.74,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
SAUCIE,0.31,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
PCA,0.6,PCA,PCA,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
PHATE,0.72,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,NMI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_NMI.csv
ivis,0.43,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
scGAE,0.56,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
VASC,0.67,VASC,VASC,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
scGBM,0.42,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
SPDR,0.65,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
pCMF,0.53,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
SQuaD_MDS_hybrid,0.51,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
SCDRHA,0.68,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
TSNE,0.53,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
UMAP,0.6,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
VAE,0.5,VAE,VAE,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
DREAM,0.34,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
ZIFA,0.4,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
SSNMDI,0.6,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
tGPLVM,0.45,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
SQuaD_MDS,0.37,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
GLMPCA,0.42,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
PaCMAP,0.71,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
ParametricUMAP200,0.69,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
scScope,0.54,scScope,scScope,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
scvis,0.46,scvis,scvis,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
EDGE,0.4,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
TriMap,0.63,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
ParametricUMAP50,0.64,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
DRA,0.48,DRA,DRA,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
SIMLR,0.59,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
SAUCIE,0.46,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
PCA,0.46,PCA,PCA,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
PHATE,0.53,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,SIL,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_SIL.csv
ivis,0.17,IVIS,IVIS,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
scGAE,0.12,scGAE,scGAE,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
VASC,0.15,VASC,VASC,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
scGBM,0.17,scGBM,scGBM,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
SPDR,0.19,SPDR,SPDR,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
pCMF,0.05,pCMF,pCMF,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
SQuaD_MDS_hybrid,0.2,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
SCDRHA,0.16,SCDRHA,SCDRHA,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
