method_id,knn_10,knn_30,nkr_30,aji_30,T_30,C_30,nh_30,svm,panel,random_triplet,spearman,k-nearest,centroid_distance,AUC,Qglobal,Pearson,score,rank,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_20,nh_10,nh_20,nkr_10,nkr_20,source,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value,structure_metric_class,family,family_label,local_score,global_score,structure_mean
UMAP,,,,,,,,,c_local_rank,,,,,,,,0.674875,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHATE,,,,,,,,,c_local_rank,,,,,,,,0.6628749999999999,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,,,,,,,,,c_local_rank,,,,,,,,0.643375,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,,,,,,,,,c_local_rank,,,,,,,,0.6285624999999999,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,,,,,,,,,c_local_rank,,,,,,,,0.6240625,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIS,,,,,,,,,c_local_rank,,,,,,,,0.6175625,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,,,,,,,,,c_local_rank,,,,,,,,0.6173125,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,,,,,,,,,c_local_rank,,,,,,,,0.6159999999999999,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGAE,,,,,,,,,c_local_rank,,,,,,,,0.6098125000000001,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,,,,,,,,,c_local_rank,,,,,,,,0.5935625,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
