parent_method,nkr_30,aji_30,T_30,C_30,nh_30,panel,random_triplet,spearman,k-nearest,centroid_distance,Pearson,method_id,score,rank,Macosko,Zheng-68 k,Zheng-73 k,local_score,global_score,structure_mean,large_dataset_completed_n,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_10,knn_20,knn_30,nh_10,nh_20,nkr_10,nkr_20,svm,source,AUC,Qglobal,method_raw,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value
VASC,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.48015833333333335,0.627,0.5535791666666667,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIFA,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.46959999999999996,0.6914,0.5805,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCMF,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.35379999999999995,0.5234,0.4386,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGAE,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.5031000000000001,0.5351000000000001,0.5191000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.505,0.6536,0.5792999999999999,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scScope,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.45380000000000004,0.5214,0.48760000000000003,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scvis,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.590657427549079,0.7390000000000001,0.6648287137745396,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-SNE,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.5478,0.5648,0.5563,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.35359999999999997,0.555556349953029,0.45457817497651454,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,nkr_30,0.117,benchmarker,Baron_mouse,dr1,0.117
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,nkr_30,0.089,benchmarker,Baron_mouse,dr1,0.089
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,nkr_30,0.016,benchmarker,Baron_mouse,dr1,0.016
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,nkr_30,0.067,benchmarker,Baron_mouse,dr1,0.067
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,nkr_30,0.283,benchmarker,Baron_mouse,dr1,0.283
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,nkr_30,0.225,benchmarker,Baron_mouse,dr1,0.225
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,nkr_30,0.236,benchmarker,Baron_mouse,dr1,0.236
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,nkr_30,0.137,benchmarker,Baron_mouse,dr1,0.137
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,nkr_30,0.128,benchmarker,Baron_mouse,dr1,0.128
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,nkr_30,0.161,benchmarker,Baron_mouse,dr1,0.161
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,nkr_30,0.02,benchmarker,Baron_mouse,dr1,0.02
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,nkr_30,0.039,benchmarker,Baron_mouse,dr1,0.039
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,nkr_30,0.191,benchmarker,Baron_mouse,dr1,0.191
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,nkr_30,0.061,benchmarker,Baron_mouse,dr1,0.061
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,nkr_30,0.154,benchmarker,Baron_mouse,dr1,0.154
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,nkr_30,0.108,benchmarker,Baron_mouse,dr1,0.108
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,nkr_30,0.128,benchmarker,Baron_mouse,dr1,0.128
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,nkr_30,0.198,benchmarker,Baron_mouse,dr1,0.198
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,nkr_30,0.051,benchmarker,Baron_mouse,dr1,0.051
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,nkr_30,0.236,benchmarker,Baron_mouse,dr1,0.236
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,nkr_30,0.096,benchmarker,Baron_mouse,dr1,0.096
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,nkr_30,0.224,benchmarker,Baron_mouse,dr1,0.224
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,nkr_30,0.254,benchmarker,Baron_mouse,dr1,0.254
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,nkr_30,0.223,benchmarker,Baron_mouse,dr1,0.223
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,nkr_30,0.018,benchmarker,Baron_mouse,dr1,0.018
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,nkr_30,0.221,benchmarker,Baron_mouse,dr1,0.221
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,nkr_30,0.227,benchmarker,Baron_mouse,dr1,0.227
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,nkr_30,0.114,benchmarker,Baron_mouse,dr1,0.114
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,nkr_30,0.255,benchmarker,Baron_mouse,dr1,0.255
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,aji_30,0.07,benchmarker,Baron_mouse,dr1,0.07
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,aji_30,0.053,benchmarker,Baron_mouse,dr1,0.053
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,aji_30,0.008,benchmarker,Baron_mouse,dr1,0.008
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,aji_30,0.037,benchmarker,Baron_mouse,dr1,0.037
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,aji_30,0.179,benchmarker,Baron_mouse,dr1,0.179
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,aji_30,0.136,benchmarker,Baron_mouse,dr1,0.136
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,aji_30,0.136,benchmarker,Baron_mouse,dr1,0.136
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,aji_30,0.085,benchmarker,Baron_mouse,dr1,0.085
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,aji_30,0.076,benchmarker,Baron_mouse,dr1,0.076
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,aji_30,0.093,benchmarker,Baron_mouse,dr1,0.093
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,aji_30,0.01,benchmarker,Baron_mouse,dr1,0.01
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,aji_30,0.021,benchmarker,Baron_mouse,dr1,0.021
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,aji_30,0.113,benchmarker,Baron_mouse,dr1,0.113
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,aji_30,0.032,benchmarker,Baron_mouse,dr1,0.032
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,aji_30,0.091,benchmarker,Baron_mouse,dr1,0.091
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,aji_30,0.063,benchmarker,Baron_mouse,dr1,0.063
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,aji_30,0.075,benchmarker,Baron_mouse,dr1,0.075
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,aji_30,0.125,benchmarker,Baron_mouse,dr1,0.125
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,aji_30,0.027,benchmarker,Baron_mouse,dr1,0.027
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,aji_30,0.145,benchmarker,Baron_mouse,dr1,0.145
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,aji_30,0.055,benchmarker,Baron_mouse,dr1,0.055
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,aji_30,0.137,benchmarker,Baron_mouse,dr1,0.137
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,aji_30,0.156,benchmarker,Baron_mouse,dr1,0.156
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,aji_30,0.144,benchmarker,Baron_mouse,dr1,0.144
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,aji_30,0.009,benchmarker,Baron_mouse,dr1,0.009
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,aji_30,0.127,benchmarker,Baron_mouse,dr1,0.127
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,aji_30,0.131,benchmarker,Baron_mouse,dr1,0.131
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,aji_30,0.066,benchmarker,Baron_mouse,dr1,0.066
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,aji_30,0.148,benchmarker,Baron_mouse,dr1,0.148
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,random_triplet,0.722,benchmarker,Baron_mouse,dr1,0.722
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,random_triplet,0.701,benchmarker,Baron_mouse,dr1,0.701
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,random_triplet,0.492,benchmarker,Baron_mouse,dr1,0.492
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,random_triplet,0.636,benchmarker,Baron_mouse,dr1,0.636
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,random_triplet,0.721,benchmarker,Baron_mouse,dr1,0.721
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,random_triplet,0.59,benchmarker,Baron_mouse,dr1,0.59
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,random_triplet,0.668,benchmarker,Baron_mouse,dr1,0.668
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,random_triplet,0.575,benchmarker,Baron_mouse,dr1,0.575
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,random_triplet,0.721,benchmarker,Baron_mouse,dr1,0.721
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,random_triplet,0.696,benchmarker,Baron_mouse,dr1,0.696
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,random_triplet,0.51,benchmarker,Baron_mouse,dr1,0.51
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,random_triplet,0.511,benchmarker,Baron_mouse,dr1,0.511
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,random_triplet,0.684,benchmarker,Baron_mouse,dr1,0.684
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,random_triplet,0.564,benchmarker,Baron_mouse,dr1,0.564
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,random_triplet,0.63,benchmarker,Baron_mouse,dr1,0.63
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,random_triplet,0.578,benchmarker,Baron_mouse,dr1,0.578
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,random_triplet,0.696,benchmarker,Baron_mouse,dr1,0.696
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,random_triplet,0.553,benchmarker,Baron_mouse,dr1,0.553
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,random_triplet,0.629,benchmarker,Baron_mouse,dr1,0.629
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,random_triplet,0.61,benchmarker,Baron_mouse,dr1,0.61
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,random_triplet,0.704,benchmarker,Baron_mouse,dr1,0.704
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,random_triplet,0.677,benchmarker,Baron_mouse,dr1,0.677
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,random_triplet,0.663,benchmarker,Baron_mouse,dr1,0.663
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,random_triplet,0.694,benchmarker,Baron_mouse,dr1,0.694
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,random_triplet,0.504,benchmarker,Baron_mouse,dr1,0.504
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,random_triplet,0.665,benchmarker,Baron_mouse,dr1,0.665
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,random_triplet,0.676,benchmarker,Baron_mouse,dr1,0.676
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,random_triplet,0.76,benchmarker,Baron_mouse,dr1,0.76
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,random_triplet,0.71,benchmarker,Baron_mouse,dr1,0.71
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,spearman,0.782,benchmarker,Baron_mouse,dr1,0.782
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,spearman,0.811,benchmarker,Baron_mouse,dr1,0.811
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,spearman,-0.025,benchmarker,Baron_mouse,dr1,-0.025
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,spearman,0.657,benchmarker,Baron_mouse,dr1,0.657
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,spearman,0.646,benchmarker,Baron_mouse,dr1,0.646
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,spearman,0.319,benchmarker,Baron_mouse,dr1,0.319
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,spearman,0.495,benchmarker,Baron_mouse,dr1,0.495
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,spearman,0.292,benchmarker,Baron_mouse,dr1,0.292
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,spearman,0.745,benchmarker,Baron_mouse,dr1,0.745
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,spearman,0.545,benchmarker,Baron_mouse,dr1,0.545
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,spearman,0.039,benchmarker,Baron_mouse,dr1,0.039
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,spearman,0.178,benchmarker,Baron_mouse,dr1,0.178
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,spearman,0.669,benchmarker,Baron_mouse,dr1,0.669
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,spearman,0.228,benchmarker,Baron_mouse,dr1,0.228
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,spearman,0.656,benchmarker,Baron_mouse,dr1,0.656
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,spearman,0.299,benchmarker,Baron_mouse,dr1,0.299
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,spearman,0.735,benchmarker,Baron_mouse,dr1,0.735
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,spearman,0.286,benchmarker,Baron_mouse,dr1,0.286
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,spearman,0.545,benchmarker,Baron_mouse,dr1,0.545
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,spearman,0.529,benchmarker,Baron_mouse,dr1,0.529
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,spearman,0.818,benchmarker,Baron_mouse,dr1,0.818
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,spearman,0.498,benchmarker,Baron_mouse,dr1,0.498
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,spearman,0.473,benchmarker,Baron_mouse,dr1,0.473
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,spearman,0.743,benchmarker,Baron_mouse,dr1,0.743
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,spearman,0.002,benchmarker,Baron_mouse,dr1,0.002
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,spearman,0.496,benchmarker,Baron_mouse,dr1,0.496
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,spearman,0.504,benchmarker,Baron_mouse,dr1,0.504
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,spearman,0.786,benchmarker,Baron_mouse,dr1,0.786
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,spearman,0.643,benchmarker,Baron_mouse,dr1,0.643
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,k-nearest,0.769,benchmarker,Baron_mouse,dr1,0.769
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,k-nearest,0.513,benchmarker,Baron_mouse,dr1,0.513
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,k-nearest,0.333,benchmarker,Baron_mouse,dr1,0.333
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,k-nearest,0.692,benchmarker,Baron_mouse,dr1,0.692
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,k-nearest,0.487,benchmarker,Baron_mouse,dr1,0.487
