method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,family
TSNE,0.91,t-SNE,t-SNE,benchmarker,Baron_mouse,louvain,HOMO,metric
UMAP,0.86,UMAP,UMAP,benchmarker,Baron_mouse,louvain,HOMO,graph
VAE,0.9,VAE,VAE,benchmarker,Baron_mouse,louvain,HOMO,deep
DREAM,0.59,DREAM,DREAM,benchmarker,Baron_mouse,louvain,HOMO,deep
ZIFA,0.65,ZIFA,ZIFA,benchmarker,Baron_mouse,louvain,HOMO,linear
SSNMDI,0.08,SSNMDI,SSNMDI,benchmarker,Baron_mouse,louvain,HOMO,linear
tGPLVM,0.4,tGPLVM,tGPLVM,benchmarker,Baron_mouse,louvain,HOMO,linear
SQuaD_MDS,0.77,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,louvain,HOMO,metric
GLMPCA,0.8,GLMPCA,GLMPCA,benchmarker,Baron_mouse,louvain,HOMO,linear
PaCMAP,0.07,PaCMAP,PaCMAP,benchmarker,Baron_mouse,louvain,HOMO,metric
ParametricUMAP200,0.85,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,louvain,HOMO,graph
scScope,0.87,scScope,scScope,benchmarker,Baron_mouse,louvain,HOMO,deep
scvis,0.84,scvis,scvis,benchmarker,Baron_mouse,louvain,HOMO,deep
EDGE,0.58,EDGE,EDGE,benchmarker,Baron_mouse,louvain,HOMO,graph
TriMap,0.93,TriMap,TriMap,benchmarker,Baron_mouse,louvain,HOMO,metric
ParametricUMAP50,0.87,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,louvain,HOMO,graph
DRA,0.05,DRA,DRA,benchmarker,Baron_mouse,louvain,HOMO,deep
SIMLR,0.94,SIMLR,SIMLR,benchmarker,Baron_mouse,louvain,HOMO,graph
SAUCIE,0.43,SAUCIE,SAUCIE,benchmarker,Baron_mouse,louvain,HOMO,deep
PCA,0.65,PCA,PCA,benchmarker,Baron_mouse,louvain,HOMO,linear
PHATE,0.89,PHATE,PHATE,benchmarker,Baron_mouse,louvain,HOMO,graph
ivis,0.6,IVIS,IVIS,benchmarker,Baron_mouse,louvain,NMI,metric
scGAE,0.52,scGAE,scGAE,benchmarker,Baron_mouse,louvain,NMI,deep
VASC,0.56,VASC,VASC,benchmarker,Baron_mouse,louvain,NMI,deep
scGBM,0.55,scGBM,scGBM,benchmarker,Baron_mouse,louvain,NMI,linear
SPDR,0.64,SPDR,SPDR,benchmarker,Baron_mouse,louvain,NMI,graph
pCMF,0.27,pCMF,pCMF,benchmarker,Baron_mouse,louvain,NMI,linear
SQuaD_MDS_hybrid,0.6,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,louvain,NMI,metric
SCDRHA,0.57,SCDRHA,SCDRHA,benchmarker,Baron_mouse,louvain,NMI,deep
TSNE,0.62,t-SNE,t-SNE,benchmarker,Baron_mouse,louvain,NMI,metric
UMAP,0.59,UMAP,UMAP,benchmarker,Baron_mouse,louvain,NMI,graph
VAE,0.61,VAE,VAE,benchmarker,Baron_mouse,louvain,NMI,deep
DREAM,0.41,DREAM,DREAM,benchmarker,Baron_mouse,louvain,NMI,deep
ZIFA,0.45,ZIFA,ZIFA,benchmarker,Baron_mouse,louvain,NMI,linear
SSNMDI,0.05,SSNMDI,SSNMDI,benchmarker,Baron_mouse,louvain,NMI,linear
tGPLVM,0.27,tGPLVM,tGPLVM,benchmarker,Baron_mouse,louvain,NMI,linear
SQuaD_MDS,0.52,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,louvain,NMI,metric
GLMPCA,0.56,GLMPCA,GLMPCA,benchmarker,Baron_mouse,louvain,NMI,linear
PaCMAP,0.05,PaCMAP,PaCMAP,benchmarker,Baron_mouse,louvain,NMI,metric
ParametricUMAP200,0.58,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,louvain,NMI,graph
scScope,0.61,scScope,scScope,benchmarker,Baron_mouse,louvain,NMI,deep
scvis,0.6,scvis,scvis,benchmarker,Baron_mouse,louvain,NMI,deep
EDGE,0.39,EDGE,EDGE,benchmarker,Baron_mouse,louvain,NMI,graph
TriMap,0.64,TriMap,TriMap,benchmarker,Baron_mouse,louvain,NMI,metric
ParametricUMAP50,0.61,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,louvain,NMI,graph
DRA,0.03,DRA,DRA,benchmarker,Baron_mouse,louvain,NMI,deep
SIMLR,0.63,SIMLR,SIMLR,benchmarker,Baron_mouse,louvain,NMI,graph
SAUCIE,0.3,SAUCIE,SAUCIE,benchmarker,Baron_mouse,louvain,NMI,deep
PCA,0.44,PCA,PCA,benchmarker,Baron_mouse,louvain,NMI,linear
PHATE,0.61,PHATE,PHATE,benchmarker,Baron_mouse,louvain,NMI,graph
ivis,0.3,IVIS,IVIS,benchmarker,Baron_mouse,louvain,SIL,metric
scGAE,0.46,scGAE,scGAE,benchmarker,Baron_mouse,louvain,SIL,deep
VASC,0.39,VASC,VASC,benchmarker,Baron_mouse,louvain,SIL,deep
scGBM,0.32,scGBM,scGBM,benchmarker,Baron_mouse,louvain,SIL,linear
SPDR,0.47,SPDR,SPDR,benchmarker,Baron_mouse,louvain,SIL,graph
pCMF,0.51,pCMF,pCMF,benchmarker,Baron_mouse,louvain,SIL,linear
SQuaD_MDS_hybrid,0.39,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,louvain,SIL,metric
SCDRHA,0.32,SCDRHA,SCDRHA,benchmarker,Baron_mouse,louvain,SIL,deep
TSNE,0.4,t-SNE,t-SNE,benchmarker,Baron_mouse,louvain,SIL,metric
UMAP,0.4,UMAP,UMAP,benchmarker,Baron_mouse,louvain,SIL,graph
VAE,0.41,VAE,VAE,benchmarker,Baron_mouse,louvain,SIL,deep
DREAM,0.23,DREAM,DREAM,benchmarker,Baron_mouse,louvain,SIL,deep
ZIFA,0.27,ZIFA,ZIFA,benchmarker,Baron_mouse,louvain,SIL,linear
SSNMDI,0.5,SSNMDI,SSNMDI,benchmarker,Baron_mouse,louvain,SIL,linear
tGPLVM,0.27,tGPLVM,tGPLVM,benchmarker,Baron_mouse,louvain,SIL,linear
SQuaD_MDS,0.28,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,louvain,SIL,metric
GLMPCA,0.3,GLMPCA,GLMPCA,benchmarker,Baron_mouse,louvain,SIL,linear
PaCMAP,0.5,PaCMAP,PaCMAP,benchmarker,Baron_mouse,louvain,SIL,metric
ParametricUMAP200,0.43,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,louvain,SIL,graph
scScope,0.4,scScope,scScope,benchmarker,Baron_mouse,louvain,SIL,deep
scvis,0.29,scvis,scvis,benchmarker,Baron_mouse,louvain,SIL,deep
EDGE,0.29,EDGE,EDGE,benchmarker,Baron_mouse,louvain,SIL,graph
TriMap,0.46,TriMap,TriMap,benchmarker,Baron_mouse,louvain,SIL,metric
ParametricUMAP50,0.41,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,louvain,SIL,graph
DRA,0.32,DRA,DRA,benchmarker,Baron_mouse,louvain,SIL,deep
SIMLR,0.49,SIMLR,SIMLR,benchmarker,Baron_mouse,louvain,SIL,graph
SAUCIE,0.34,SAUCIE,SAUCIE,benchmarker,Baron_mouse,louvain,SIL,deep
PCA,0.28,PCA,PCA,benchmarker,Baron_mouse,louvain,SIL,linear
PHATE,0.36,PHATE,PHATE,benchmarker,Baron_mouse,louvain,SIL,graph
