parent_method,clustering_algorithm,median_ari,family,panel,metric,median_value,dataset_category,dataset_id,ari,ARI,NMI,pearson_r,appearances,fraction,n_top_three_slots,median_rank,q1_rank,q3_rank,top3_fraction,dataset_algorithm_tasks,eligible_task_count,kmeans,louvain,spectral,algorithm_range,algorithm_sd,n_algorithms,median_absolute_gap,q1_absolute_gap,q3_absolute_gap,task_count
SCDRHA,spectral,,deep,e,,,benchmarker,Pancreatic,,0.18,0.42,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,kmeans,,graph,e,,,benchmarker,Pancreatic,,0.6,0.71,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,louvain,,graph,e,,,benchmarker,Pancreatic,,0.47,0.6,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,spectral,,graph,e,,,benchmarker,Pancreatic,,0.6,0.71,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,kmeans,,graph,e,,,benchmarker,Pancreatic,,0.33,0.61,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,louvain,,graph,e,,,benchmarker,Pancreatic,,0.3,0.47,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,spectral,,graph,e,,,benchmarker,Pancreatic,,0.61,0.7,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,kmeans,,metric,e,,,benchmarker,Pancreatic,,0.345,0.52,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,louvain,,metric,e,,,benchmarker,Pancreatic,,0.225,0.355,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,spectral,,metric,e,,,benchmarker,Pancreatic,,0.33999999999999997,0.485,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,kmeans,,linear,e,,,benchmarker,Pancreatic,,-0.02,0.13,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,louvain,,linear,e,,,benchmarker,Pancreatic,,-0.01,0.08,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,spectral,,linear,e,,,benchmarker,Pancreatic,,-0.02,0.13,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,kmeans,,metric,e,,,benchmarker,Pancreatic,,0.66,0.81,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,louvain,,metric,e,,,benchmarker,Pancreatic,,0.46,0.65,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,spectral,,metric,e,,,benchmarker,Pancreatic,,0.82,0.86,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,kmeans,,graph,e,,,benchmarker,Pancreatic,,0.63,0.75,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,louvain,,graph,e,,,benchmarker,Pancreatic,,0.41,0.57,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,spectral,,graph,e,,,benchmarker,Pancreatic,,0.67,0.79,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,kmeans,,deep,e,,,benchmarker,Pancreatic,,0.18,0.4,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,louvain,,deep,e,,,benchmarker,Pancreatic,,0.14,0.26,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,spectral,,deep,e,,,benchmarker,Pancreatic,,0.18,0.42,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,kmeans,,deep,e,,,benchmarker,Pancreatic,,0.31,0.54,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,louvain,,deep,e,,,benchmarker,Pancreatic,,0.27,0.43,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,spectral,,deep,e,,,benchmarker,Pancreatic,,0.24,0.46,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,kmeans,,linear,e,,,benchmarker,Pancreatic,,0.27,0.55,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,louvain,,linear,e,,,benchmarker,Pancreatic,,0.29,0.44,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,spectral,,linear,e,,,benchmarker,Pancreatic,,0.39,0.58,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,kmeans,,linear,e,,,benchmarker,Pancreatic,,0.21,0.42,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,louvain,,linear,e,,,benchmarker,Pancreatic,,0.25,0.41,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,spectral,,linear,e,,,benchmarker,Pancreatic,,0.34,0.52,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,kmeans,,deep,e,,,benchmarker,Pancreatic,,0.55,0.71,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,louvain,,deep,e,,,benchmarker,Pancreatic,,0.36,0.54,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,spectral,,deep,e,,,benchmarker,Pancreatic,,0.54,0.69,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,kmeans,,linear,e,,,benchmarker,Pancreatic,,0.44,0.63,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,louvain,,linear,e,,,benchmarker,Pancreatic,,0.33,0.49,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,spectral,,linear,e,,,benchmarker,Pancreatic,,0.45,0.61,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,kmeans,,deep,e,,,benchmarker,Pancreatic,,0.12,0.3,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,louvain,,deep,e,,,benchmarker,Pancreatic,,0.04,0.17,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,spectral,,deep,e,,,benchmarker,Pancreatic,,0.07,0.26,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,kmeans,,deep,e,,,benchmarker,Pancreatic,,0.35,0.63,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,louvain,,deep,e,,,benchmarker,Pancreatic,,0.59,0.69,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,spectral,,deep,e,,,benchmarker,Pancreatic,,0.73,0.8,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,kmeans,,metric,e,,,benchmarker,Pancreatic,,0.18,0.35,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,louvain,,metric,e,,,benchmarker,Pancreatic,,0.23,0.34,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,spectral,,metric,e,,,benchmarker,Pancreatic,,0.24,0.42,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,kmeans,,linear,e,,,benchmarker,Pancreatic,,0.03,0.19,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,louvain,,linear,e,,,benchmarker,Pancreatic,,-0.01,0.06,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,spectral,,linear,e,,,benchmarker,Pancreatic,,0.06,0.2,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,kmeans,,deep,e,,,benchmarker,Silver,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,louvain,,deep,e,,,benchmarker,Silver,,0.0,0.03,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,spectral,,deep,e,,,benchmarker,Silver,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,kmeans,,deep,e,,,benchmarker,Silver,,0.22,0.34,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,louvain,,deep,e,,,benchmarker,Silver,,0.13,0.29,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,spectral,,deep,e,,,benchmarker,Silver,,0.23,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,kmeans,,graph,e,,,benchmarker,Silver,,0.31,0.35,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,louvain,,graph,e,,,benchmarker,Silver,,0.12,0.3,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,spectral,,graph,e,,,benchmarker,Silver,,0.23,0.34,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,kmeans,,linear,e,,,benchmarker,Silver,,0.32,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,louvain,,linear,e,,,benchmarker,Silver,,0.14,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,spectral,,linear,e,,,benchmarker,Silver,,0.28,0.38,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,kmeans,,metric,e,,,benchmarker,Silver,,0.23,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,louvain,,metric,e,,,benchmarker,Silver,,0.16,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,spectral,,metric,e,,,benchmarker,Silver,,0.28,0.38,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,kmeans,,linear,e,,,benchmarker,Silver,,0.23,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,louvain,,linear,e,,,benchmarker,Silver,,0.15,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,spectral,,linear,e,,,benchmarker,Silver,,0.24,0.38,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,kmeans,,graph,e,,,benchmarker,Silver,,0.22,0.43,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,louvain,,graph,e,,,benchmarker,Silver,,0.13,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,spectral,,graph,e,,,benchmarker,Silver,,0.24,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PaCMAP,kmeans,,metric,e,,,benchmarker,Silver,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PaCMAP,louvain,,metric,e,,,benchmarker,Silver,,-0.0,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PaCMAP,spectral,,metric,e,,,benchmarker,Silver,,-0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SAUCIE,kmeans,,deep,e,,,benchmarker,Silver,,0.04,0.08,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SAUCIE,louvain,,deep,e,,,benchmarker,Silver,,0.03,0.09,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SAUCIE,spectral,,deep,e,,,benchmarker,Silver,,0.04,0.09,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SCDRHA,kmeans,,deep,e,,,benchmarker,Silver,,0.26,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SCDRHA,louvain,,deep,e,,,benchmarker,Silver,,0.14,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SCDRHA,spectral,,deep,e,,,benchmarker,Silver,,0.29,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,kmeans,,graph,e,,,benchmarker,Silver,,0.23,0.37,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,louvain,,graph,e,,,benchmarker,Silver,,0.14,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,spectral,,graph,e,,,benchmarker,Silver,,0.21,0.36,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,kmeans,,graph,e,,,benchmarker,Silver,,0.26,0.4,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,louvain,,graph,e,,,benchmarker,Silver,,0.14,0.34,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,spectral,,graph,e,,,benchmarker,Silver,,0.24,0.41,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,kmeans,,metric,e,,,benchmarker,Silver,,0.275,0.36,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,louvain,,metric,e,,,benchmarker,Silver,,0.14,0.315,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,spectral,,metric,e,,,benchmarker,Silver,,0.25,0.35,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,kmeans,,linear,e,,,benchmarker,Silver,,-0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,louvain,,linear,e,,,benchmarker,Silver,,-0.0,0.03,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,spectral,,linear,e,,,benchmarker,Silver,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,kmeans,,metric,e,,,benchmarker,Silver,,0.26,0.4,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,louvain,,metric,e,,,benchmarker,Silver,,0.12,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,spectral,,metric,e,,,benchmarker,Silver,,0.24,0.41,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,kmeans,,graph,e,,,benchmarker,Silver,,0.28,0.38,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,louvain,,graph,e,,,benchmarker,Silver,,0.12,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,spectral,,graph,e,,,benchmarker,Silver,,0.23,0.38,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,kmeans,,deep,e,,,benchmarker,Silver,,0.29,0.38,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,louvain,,deep,e,,,benchmarker,Silver,,0.15,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,spectral,,deep,e,,,benchmarker,Silver,,0.29,0.38,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,kmeans,,deep,e,,,benchmarker,Silver,,0.41,0.41,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,louvain,,deep,e,,,benchmarker,Silver,,0.12,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,spectral,,deep,e,,,benchmarker,Silver,,0.28,0.38,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,kmeans,,linear,e,,,benchmarker,Silver,,0.27,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,louvain,,linear,e,,,benchmarker,Silver,,0.14,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,spectral,,linear,e,,,benchmarker,Silver,,0.23,0.38,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,kmeans,,linear,e,,,benchmarker,Silver,,0.01,0.02,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,louvain,,linear,e,,,benchmarker,Silver,,0.0,0.04,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,spectral,,linear,e,,,benchmarker,Silver,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,kmeans,,deep,e,,,benchmarker,Silver,,0.11,0.2,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,louvain,,deep,e,,,benchmarker,Silver,,0.07,0.23,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,spectral,,deep,e,,,benchmarker,Silver,,0.12,0.21,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,kmeans,,linear,e,,,benchmarker,Silver,,0.32,0.4,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,louvain,,linear,e,,,benchmarker,Silver,,0.16,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,spectral,,linear,e,,,benchmarker,Silver,,0.28,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,kmeans,,deep,e,,,benchmarker,Silver,,0.28,0.36,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,louvain,,deep,e,,,benchmarker,Silver,,0.15,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,spectral,,deep,e,,,benchmarker,Silver,,0.23,0.36,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,kmeans,,deep,e,,,benchmarker,Silver,,0.24,0.4,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,louvain,,deep,e,,,benchmarker,Silver,,0.18,0.34,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,spectral,,deep,e,,,benchmarker,Silver,,0.26,0.38,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,kmeans,,metric,e,,,benchmarker,Silver,,0.3,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,louvain,,metric,e,,,benchmarker,Silver,,0.15,0.34,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,spectral,,metric,e,,,benchmarker,Silver,,0.26,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,kmeans,,linear,e,,,benchmarker,Silver,,0.4,0.39,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,louvain,,linear,e,,,benchmarker,Silver,,0.14,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,spectral,,linear,e,,,benchmarker,Silver,,0.22,0.36,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,kmeans,,deep,e,,,benchmarker,Zhengmix4eq,,0.0,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,louvain,,deep,e,,,benchmarker,Zhengmix4eq,,0.0,0.01,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DRA,spectral,,deep,e,,,benchmarker,Zhengmix4eq,,0.0,0.0,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,kmeans,,deep,e,,,benchmarker,Zhengmix4eq,,0.42,0.45,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,louvain,,deep,e,,,benchmarker,Zhengmix4eq,,0.07,0.28,0.9191594713982467,,,,,,,,,,,,,,,,,,,
DREAM,spectral,,deep,e,,,benchmarker,Zhengmix4eq,,0.43,0.44,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,kmeans,,graph,e,,,benchmarker,Zhengmix4eq,,0.41,0.46,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,louvain,,graph,e,,,benchmarker,Zhengmix4eq,,0.08,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
EDGE,spectral,,graph,e,,,benchmarker,Zhengmix4eq,,0.38,0.43,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,kmeans,,linear,e,,,benchmarker,Zhengmix4eq,,0.84,0.85,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,louvain,,linear,e,,,benchmarker,Zhengmix4eq,,0.11,0.47,0.9191594713982467,,,,,,,,,,,,,,,,,,,
GLMPCA,spectral,,linear,e,,,benchmarker,Zhengmix4eq,,0.84,0.85,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,kmeans,,metric,e,,,benchmarker,Zhengmix4eq,,0.83,0.85,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,louvain,,metric,e,,,benchmarker,Zhengmix4eq,,0.13,0.48,0.9191594713982467,,,,,,,,,,,,,,,,,,,
IVIS,spectral,,metric,e,,,benchmarker,Zhengmix4eq,,0.83,0.84,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,kmeans,,linear,e,,,benchmarker,Zhengmix4eq,,0.63,0.79,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,louvain,,linear,e,,,benchmarker,Zhengmix4eq,,0.11,0.45,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PCA,spectral,,linear,e,,,benchmarker,Zhengmix4eq,,0.79,0.82,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,kmeans,,graph,e,,,benchmarker,Zhengmix4eq,,0.8,0.84,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,louvain,,graph,e,,,benchmarker,Zhengmix4eq,,0.13,0.49,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PHATE,spectral,,graph,e,,,benchmarker,Zhengmix4eq,,0.6,0.7,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PaCMAP,kmeans,,metric,e,,,benchmarker,Zhengmix4eq,,0.48,0.51,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PaCMAP,louvain,,metric,e,,,benchmarker,Zhengmix4eq,,0.07,0.3,0.9191594713982467,,,,,,,,,,,,,,,,,,,
PaCMAP,spectral,,metric,e,,,benchmarker,Zhengmix4eq,,0.35,0.42,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SAUCIE,kmeans,,deep,e,,,benchmarker,Zhengmix4eq,,0.3,0.36,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SAUCIE,louvain,,deep,e,,,benchmarker,Zhengmix4eq,,0.09,0.37,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SAUCIE,spectral,,deep,e,,,benchmarker,Zhengmix4eq,,0.23,0.35,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SCDRHA,kmeans,,deep,e,,,benchmarker,Zhengmix4eq,,0.64,0.79,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SCDRHA,louvain,,deep,e,,,benchmarker,Zhengmix4eq,,0.12,0.46,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SCDRHA,spectral,,deep,e,,,benchmarker,Zhengmix4eq,,0.83,0.85,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,kmeans,,graph,e,,,benchmarker,Zhengmix4eq,,0.61,0.75,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,louvain,,graph,e,,,benchmarker,Zhengmix4eq,,0.13,0.49,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SIMLR,spectral,,graph,e,,,benchmarker,Zhengmix4eq,,0.58,0.67,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,kmeans,,graph,e,,,benchmarker,Zhengmix4eq,,0.86,0.87,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,louvain,,graph,e,,,benchmarker,Zhengmix4eq,,0.12,0.49,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SPDR,spectral,,graph,e,,,benchmarker,Zhengmix4eq,,0.59,0.71,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,kmeans,,metric,e,,,benchmarker,Zhengmix4eq,,0.6799999999999999,0.755,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,louvain,,metric,e,,,benchmarker,Zhengmix4eq,,0.11,0.445,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,spectral,,metric,e,,,benchmarker,Zhengmix4eq,,0.6699999999999999,0.745,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,kmeans,,linear,e,,,benchmarker,Zhengmix4eq,,0.25,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,louvain,,linear,e,,,benchmarker,Zhengmix4eq,,0.07,0.32,0.9191594713982467,,,,,,,,,,,,,,,,,,,
SSNMDI,spectral,,linear,e,,,benchmarker,Zhengmix4eq,,0.26,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,kmeans,,metric,e,,,benchmarker,Zhengmix4eq,,0.9,0.89,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,louvain,,metric,e,,,benchmarker,Zhengmix4eq,,0.12,0.49,0.9191594713982467,,,,,,,,,,,,,,,,,,,
TriMap,spectral,,metric,e,,,benchmarker,Zhengmix4eq,,0.67,0.78,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,kmeans,,graph,e,,,benchmarker,Zhengmix4eq,,0.76,0.8,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,louvain,,graph,e,,,benchmarker,Zhengmix4eq,,0.11,0.45,0.9191594713982467,,,,,,,,,,,,,,,,,,,
UMAP,spectral,,graph,e,,,benchmarker,Zhengmix4eq,,0.77,0.8,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,kmeans,,deep,e,,,benchmarker,Zhengmix4eq,,0.88,0.87,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,louvain,,deep,e,,,benchmarker,Zhengmix4eq,,0.12,0.47,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VAE,spectral,,deep,e,,,benchmarker,Zhengmix4eq,,0.87,0.86,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,kmeans,,deep,e,,,benchmarker,Zhengmix4eq,,0.52,0.59,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,louvain,,deep,e,,,benchmarker,Zhengmix4eq,,0.06,0.33,0.9191594713982467,,,,,,,,,,,,,,,,,,,
VASC,spectral,,deep,e,,,benchmarker,Zhengmix4eq,,0.52,0.57,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,kmeans,,linear,e,,,benchmarker,Zhengmix4eq,,0.62,0.76,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,louvain,,linear,e,,,benchmarker,Zhengmix4eq,,0.12,0.45,0.9191594713982467,,,,,,,,,,,,,,,,,,,
ZIFA,spectral,,linear,e,,,benchmarker,Zhengmix4eq,,0.76,0.78,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,kmeans,,linear,e,,,benchmarker,Zhengmix4eq,,0.12,0.18,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,louvain,,linear,e,,,benchmarker,Zhengmix4eq,,0.01,0.1,0.9191594713982467,,,,,,,,,,,,,,,,,,,
pCMF,spectral,,linear,e,,,benchmarker,Zhengmix4eq,,0.14,0.17,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,kmeans,,deep,e,,,benchmarker,Zhengmix4eq,,0.36,0.45,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,louvain,,deep,e,,,benchmarker,Zhengmix4eq,,0.06,0.34,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGAE,spectral,,deep,e,,,benchmarker,Zhengmix4eq,,0.42,0.5,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,kmeans,,linear,e,,,benchmarker,Zhengmix4eq,,0.82,0.85,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,louvain,,linear,e,,,benchmarker,Zhengmix4eq,,0.12,0.47,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scGBM,spectral,,linear,e,,,benchmarker,Zhengmix4eq,,0.83,0.85,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,kmeans,,deep,e,,,benchmarker,Zhengmix4eq,,0.87,0.87,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,louvain,,deep,e,,,benchmarker,Zhengmix4eq,,0.13,0.48,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scScope,spectral,,deep,e,,,benchmarker,Zhengmix4eq,,0.54,0.67,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,kmeans,,deep,e,,,benchmarker,Zhengmix4eq,,0.65,0.78,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,louvain,,deep,e,,,benchmarker,Zhengmix4eq,,0.13,0.47,0.9191594713982467,,,,,,,,,,,,,,,,,,,
scvis,spectral,,deep,e,,,benchmarker,Zhengmix4eq,,0.76,0.78,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,kmeans,,metric,e,,,benchmarker,Zhengmix4eq,,0.9,0.89,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,louvain,,metric,e,,,benchmarker,Zhengmix4eq,,0.14,0.5,0.9191594713982467,,,,,,,,,,,,,,,,,,,
t-SNE,spectral,,metric,e,,,benchmarker,Zhengmix4eq,,0.89,0.89,0.9191594713982467,,,,,,,,,,,,,,,,,,,
tGPLVM,kmeans,,linear,e,,,benchmarker,Zhengmix4eq,,0.29,0.46,0.9191594713982467,,,,,,,,,,,,,,,,,,,
