parent_method,clustering_algorithm,median_ari,family,panel,metric,median_value,dataset_category,dataset_id,ari,ARI,NMI,pearson_r,appearances,fraction,n_top_three_slots,median_rank,q1_rank,q3_rank,top3_fraction,dataset_algorithm_tasks,eligible_task_count,kmeans,louvain,spectral,algorithm_range,algorithm_sd,n_algorithms,median_absolute_gap,q1_absolute_gap,q3_absolute_gap,task_count
SCDRHA,kmeans,,deep,d,,,SIMLR,Pollen,0.65,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,louvain,,deep,d,,,SIMLR,Pollen,0.53,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,spectral,,deep,d,,,SIMLR,Pollen,0.52,,,,,,,,,,,,,,,,,,,,,,
SIMLR,kmeans,,graph,d,,,SIMLR,Pollen,0.91,,,,,,,,,,,,,,,,,,,,,,
SIMLR,louvain,,graph,d,,,SIMLR,Pollen,0.7,,,,,,,,,,,,,,,,,,,,,,
SIMLR,spectral,,graph,d,,,SIMLR,Pollen,0.37,,,,,,,,,,,,,,,,,,,,,,
SPDR,kmeans,,graph,d,,,SIMLR,Pollen,0.78,,,,,,,,,,,,,,,,,,,,,,
SPDR,louvain,,graph,d,,,SIMLR,Pollen,0.86,,,,,,,,,,,,,,,,,,,,,,
SPDR,spectral,,graph,d,,,SIMLR,Pollen,0.68,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,kmeans,,metric,d,,,SIMLR,Pollen,0.64,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,louvain,,metric,d,,,SIMLR,Pollen,0.605,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,spectral,,metric,d,,,SIMLR,Pollen,0.495,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,kmeans,,linear,d,,,SIMLR,Pollen,0.21,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,louvain,,linear,d,,,SIMLR,Pollen,0.23,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,spectral,,linear,d,,,SIMLR,Pollen,0.13,,,,,,,,,,,,,,,,,,,,,,
