method_raw,method_id,parent_method,n_cells,peak_memory_gb,runtime_seconds,source,method,language,role,install_channel,package_or_repo,environment,status,notes,commit,family_short,method_order
PCA,PCA,PCA,73233,2.75,13.89,efficiency,,,,,,,,,,linear,1
t-SNE,t-SNE,t-SNE,73233,2.76,443.098,efficiency,,,,,,,,,,metric,24
VAE,VAE,VAE,73233,3.161,1994.1385,efficiency,,,,,,,,,,deep,8
GLMPCA,GLMPCA,GLMPCA,73233,5.027,821.787,efficiency,,,,,,,,,,linear,2
scGBM,scGBM,scGBM,73233,5.252,573.543,efficiency,,,,,,,,,,linear,5
VASC,VASC,VASC,73233,4.152,25268.5643,efficiency,,,,,,,,,,deep,10
tGPLVM,tGPLVM,tGPLVM,73233,2.01,207.9224,efficiency,,,,,,,,,,linear,7
pCMF,pCMF,pCMF,73233,4.882,18998.695,efficiency,,,,,,,,,,linear,3
scScope,scScope,scScope,73233,3.253,2165.0811,efficiency,,,,,,,,,,deep,12
SPDR,SPDR,SPDR,73233,6.022,20562.4158,efficiency,,,,,,,,,,graph,21
EDGE,EDGE,EDGE,73233,63.961,13138.446,efficiency,,,,,,,,,,graph,20
scvis,scvis,scvis,73233,2.085,9444.5761,efficiency,,,,,,,,,,deep,9
ZIFA,ZIFA,ZIFA,73233,10.25,9119.3146,efficiency,,,,,,,,,,linear,4
