method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric
TriMap,0.63,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,SIL
ParametricUMAP50,0.64,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,SIL
DRA,0.48,DRA,DRA,benchmarker,Baron_mouse,kmeans,SIL
SIMLR,0.59,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,SIL
SAUCIE,0.46,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,SIL
PCA,0.46,PCA,PCA,benchmarker,Baron_mouse,kmeans,SIL
PHATE,0.53,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,SIL
ivis,0.17,IVIS,IVIS,benchmarker,Baron_mouse,louvain,ARI
scGAE,0.12,scGAE,scGAE,benchmarker,Baron_mouse,louvain,ARI
VASC,0.15,VASC,VASC,benchmarker,Baron_mouse,louvain,ARI
scGBM,0.17,scGBM,scGBM,benchmarker,Baron_mouse,louvain,ARI
SPDR,0.19,SPDR,SPDR,benchmarker,Baron_mouse,louvain,ARI
pCMF,0.05,pCMF,pCMF,benchmarker,Baron_mouse,louvain,ARI
SQuaD_MDS_hybrid,0.2,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,louvain,ARI
SCDRHA,0.16,SCDRHA,SCDRHA,benchmarker,Baron_mouse,louvain,ARI
TSNE,0.19,t-SNE,t-SNE,benchmarker,Baron_mouse,louvain,ARI
UMAP,0.17,UMAP,UMAP,benchmarker,Baron_mouse,louvain,ARI
VAE,0.17,VAE,VAE,benchmarker,Baron_mouse,louvain,ARI
DREAM,0.11,DREAM,DREAM,benchmarker,Baron_mouse,louvain,ARI
ZIFA,0.12,ZIFA,ZIFA,benchmarker,Baron_mouse,louvain,ARI
SSNMDI,0.0,SSNMDI,SSNMDI,benchmarker,Baron_mouse,louvain,ARI
tGPLVM,0.05,tGPLVM,tGPLVM,benchmarker,Baron_mouse,louvain,ARI
SQuaD_MDS,0.13,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,louvain,ARI
GLMPCA,0.17,GLMPCA,GLMPCA,benchmarker,Baron_mouse,louvain,ARI
PaCMAP,0.0,PaCMAP,PaCMAP,benchmarker,Baron_mouse,louvain,ARI
ParametricUMAP200,0.17,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,louvain,ARI
scScope,0.2,scScope,scScope,benchmarker,Baron_mouse,louvain,ARI
scvis,0.21,scvis,scvis,benchmarker,Baron_mouse,louvain,ARI
EDGE,0.1,EDGE,EDGE,benchmarker,Baron_mouse,louvain,ARI
TriMap,0.19,TriMap,TriMap,benchmarker,Baron_mouse,louvain,ARI
ParametricUMAP50,0.2,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,louvain,ARI
DRA,-0.0,DRA,DRA,benchmarker,Baron_mouse,louvain,ARI
SIMLR,0.18,SIMLR,SIMLR,benchmarker,Baron_mouse,louvain,ARI
SAUCIE,0.05,SAUCIE,SAUCIE,benchmarker,Baron_mouse,louvain,ARI
PCA,0.12,PCA,PCA,benchmarker,Baron_mouse,louvain,ARI
PHATE,0.19,PHATE,PHATE,benchmarker,Baron_mouse,louvain,ARI
ivis,0.46,IVIS,IVIS,benchmarker,Baron_mouse,louvain,COMP
scGAE,0.39,scGAE,scGAE,benchmarker,Baron_mouse,louvain,COMP
VASC,0.42,VASC,VASC,benchmarker,Baron_mouse,louvain,COMP
scGBM,0.43,scGBM,scGBM,benchmarker,Baron_mouse,louvain,COMP
SPDR,0.48,SPDR,SPDR,benchmarker,Baron_mouse,louvain,COMP
pCMF,0.2,pCMF,pCMF,benchmarker,Baron_mouse,louvain,COMP
SQuaD_MDS_hybrid,0.46,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,louvain,COMP
SCDRHA,0.44,SCDRHA,SCDRHA,benchmarker,Baron_mouse,louvain,COMP
TSNE,0.48,t-SNE,t-SNE,benchmarker,Baron_mouse,louvain,COMP
UMAP,0.44,UMAP,UMAP,benchmarker,Baron_mouse,louvain,COMP
VAE,0.46,VAE,VAE,benchmarker,Baron_mouse,louvain,COMP
DREAM,0.31,DREAM,DREAM,benchmarker,Baron_mouse,louvain,COMP
ZIFA,0.34,ZIFA,ZIFA,benchmarker,Baron_mouse,louvain,COMP
