method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric
scScope,0.29,scScope,scScope,simulate,dropout_-1,louvain,SIL
scvis,0.36,scvis,scvis,simulate,dropout_-1,louvain,SIL
EDGE,0.29,EDGE,EDGE,simulate,dropout_-1,louvain,SIL
TriMap,0.27,TriMap,TriMap,simulate,dropout_-1,louvain,SIL
ParametricUMAP50,0.29,Parametric UMAP 50,UMAP,simulate,dropout_-1,louvain,SIL
DRA,0.24,DRA,DRA,simulate,dropout_-1,louvain,SIL
SIMLR,0.34,SIMLR,SIMLR,simulate,dropout_-1,louvain,SIL
SAUCIE,0.27,SAUCIE,SAUCIE,simulate,dropout_-1,louvain,SIL
PCA,0.25,PCA,PCA,simulate,dropout_-1,louvain,SIL
PHATE,0.19,PHATE,PHATE,simulate,dropout_-1,louvain,SIL
ivis,0.45,IVIS,IVIS,simulate,dropout_-1,spectral,ARI
scGAE,-0.0,scGAE,scGAE,simulate,dropout_-1,spectral,ARI
scGBM,0.82,scGBM,scGBM,simulate,dropout_-1,spectral,ARI
SPDR,0.58,SPDR,SPDR,simulate,dropout_-1,spectral,ARI
pCMF,-0.0,pCMF,pCMF,simulate,dropout_-1,spectral,ARI
SQuaD_MDS_hybrid,0.72,SQuaD-MDS hybrid,SQuaD-MDS,simulate,dropout_-1,spectral,ARI
SCDRHA,0.67,SCDRHA,SCDRHA,simulate,dropout_-1,spectral,ARI
TSNE,0.54,t-SNE,t-SNE,simulate,dropout_-1,spectral,ARI
UMAP,0.97,UMAP,UMAP,simulate,dropout_-1,spectral,ARI
VAE,0.88,VAE,VAE,simulate,dropout_-1,spectral,ARI
DREAM,0.03,DREAM,DREAM,simulate,dropout_-1,spectral,ARI
ZIFA,0.96,ZIFA,ZIFA,simulate,dropout_-1,spectral,ARI
SSNMDI,0.0,SSNMDI,SSNMDI,simulate,dropout_-1,spectral,ARI
tGPLVM,0.49,tGPLVM,tGPLVM,simulate,dropout_-1,spectral,ARI
SQuaD_MDS,0.2,SQuaD-MDS,SQuaD-MDS,simulate,dropout_-1,spectral,ARI
GLMPCA,0.76,GLMPCA,GLMPCA,simulate,dropout_-1,spectral,ARI
PaCMAP,-0.0,PaCMAP,PaCMAP,simulate,dropout_-1,spectral,ARI
ParametricUMAP200,0.99,Parametric UMAP 200,UMAP,simulate,dropout_-1,spectral,ARI
scScope,0.0,scScope,scScope,simulate,dropout_-1,spectral,ARI
scvis,0.0,scvis,scvis,simulate,dropout_-1,spectral,ARI
EDGE,0.67,EDGE,EDGE,simulate,dropout_-1,spectral,ARI
TriMap,1.0,TriMap,TriMap,simulate,dropout_-1,spectral,ARI
ParametricUMAP50,0.99,Parametric UMAP 50,UMAP,simulate,dropout_-1,spectral,ARI
DRA,0.0,DRA,DRA,simulate,dropout_-1,spectral,ARI
SIMLR,1.0,SIMLR,SIMLR,simulate,dropout_-1,spectral,ARI
SAUCIE,0.0,SAUCIE,SAUCIE,simulate,dropout_-1,spectral,ARI
PCA,0.95,PCA,PCA,simulate,dropout_-1,spectral,ARI
PHATE,1.0,PHATE,PHATE,simulate,dropout_-1,spectral,ARI
ivis,0.53,IVIS,IVIS,simulate,dropout_-1,spectral,COMP
scGAE,0.0,scGAE,scGAE,simulate,dropout_-1,spectral,COMP
scGBM,0.88,scGBM,scGBM,simulate,dropout_-1,spectral,COMP
SPDR,0.78,SPDR,SPDR,simulate,dropout_-1,spectral,COMP
pCMF,0.0,pCMF,pCMF,simulate,dropout_-1,spectral,COMP
SQuaD_MDS_hybrid,0.7,SQuaD-MDS hybrid,SQuaD-MDS,simulate,dropout_-1,spectral,COMP
SCDRHA,0.79,SCDRHA,SCDRHA,simulate,dropout_-1,spectral,COMP
TSNE,0.74,t-SNE,t-SNE,simulate,dropout_-1,spectral,COMP
UMAP,0.96,UMAP,UMAP,simulate,dropout_-1,spectral,COMP
VAE,0.85,VAE,VAE,simulate,dropout_-1,spectral,COMP
DREAM,0.04,DREAM,DREAM,simulate,dropout_-1,spectral,COMP
ZIFA,0.93,ZIFA,ZIFA,simulate,dropout_-1,spectral,COMP
SSNMDI,0.0,SSNMDI,SSNMDI,simulate,dropout_-1,spectral,COMP
tGPLVM,0.74,tGPLVM,tGPLVM,simulate,dropout_-1,spectral,COMP
SQuaD_MDS,0.24,SQuaD-MDS,SQuaD-MDS,simulate,dropout_-1,spectral,COMP
GLMPCA,0.82,GLMPCA,GLMPCA,simulate,dropout_-1,spectral,COMP
PaCMAP,0.0,PaCMAP,PaCMAP,simulate,dropout_-1,spectral,COMP
ParametricUMAP200,0.99,Parametric UMAP 200,UMAP,simulate,dropout_-1,spectral,COMP
scScope,0.01,scScope,scScope,simulate,dropout_-1,spectral,COMP
scvis,0.01,scvis,scvis,simulate,dropout_-1,spectral,COMP
EDGE,0.72,EDGE,EDGE,simulate,dropout_-1,spectral,COMP
TriMap,1.0,TriMap,TriMap,simulate,dropout_-1,spectral,COMP
ParametricUMAP50,0.98,Parametric UMAP 50,UMAP,simulate,dropout_-1,spectral,COMP
DRA,0.0,DRA,DRA,simulate,dropout_-1,spectral,COMP
SIMLR,1.0,SIMLR,SIMLR,simulate,dropout_-1,spectral,COMP
SAUCIE,0.0,SAUCIE,SAUCIE,simulate,dropout_-1,spectral,COMP
PCA,0.93,PCA,PCA,simulate,dropout_-1,spectral,COMP
PHATE,0.99,PHATE,PHATE,simulate,dropout_-1,spectral,COMP
ivis,0.56,IVIS,IVIS,simulate,dropout_-1,spectral,HOMO
scGAE,0.0,scGAE,scGAE,simulate,dropout_-1,spectral,HOMO
scGBM,0.89,scGBM,scGBM,simulate,dropout_-1,spectral,HOMO
SPDR,0.73,SPDR,SPDR,simulate,dropout_-1,spectral,HOMO
pCMF,0.0,pCMF,pCMF,simulate,dropout_-1,spectral,HOMO
SQuaD_MDS_hybrid,0.72,SQuaD-MDS hybrid,SQuaD-MDS,simulate,dropout_-1,spectral,HOMO
SCDRHA,0.79,SCDRHA,SCDRHA,simulate,dropout_-1,spectral,HOMO
TSNE,0.74,t-SNE,t-SNE,simulate,dropout_-1,spectral,HOMO
UMAP,0.96,UMAP,UMAP,simulate,dropout_-1,spectral,HOMO
VAE,0.87,VAE,VAE,simulate,dropout_-1,spectral,HOMO
DREAM,0.04,DREAM,DREAM,simulate,dropout_-1,spectral,HOMO
ZIFA,0.93,ZIFA,ZIFA,simulate,dropout_-1,spectral,HOMO
SSNMDI,0.0,SSNMDI,SSNMDI,simulate,dropout_-1,spectral,HOMO
tGPLVM,0.7,tGPLVM,tGPLVM,simulate,dropout_-1,spectral,HOMO
SQuaD_MDS,0.25,SQuaD-MDS,SQuaD-MDS,simulate,dropout_-1,spectral,HOMO
GLMPCA,0.85,GLMPCA,GLMPCA,simulate,dropout_-1,spectral,HOMO
PaCMAP,0.0,PaCMAP,PaCMAP,simulate,dropout_-1,spectral,HOMO
ParametricUMAP200,0.99,Parametric UMAP 200,UMAP,simulate,dropout_-1,spectral,HOMO
scScope,0.01,scScope,scScope,simulate,dropout_-1,spectral,HOMO
scvis,0.01,scvis,scvis,simulate,dropout_-1,spectral,HOMO
EDGE,0.75,EDGE,EDGE,simulate,dropout_-1,spectral,HOMO
TriMap,1.0,TriMap,TriMap,simulate,dropout_-1,spectral,HOMO
ParametricUMAP50,0.98,Parametric UMAP 50,UMAP,simulate,dropout_-1,spectral,HOMO
DRA,0.0,DRA,DRA,simulate,dropout_-1,spectral,HOMO
SIMLR,1.0,SIMLR,SIMLR,simulate,dropout_-1,spectral,HOMO
SAUCIE,0.0,SAUCIE,SAUCIE,simulate,dropout_-1,spectral,HOMO
PCA,0.93,PCA,PCA,simulate,dropout_-1,spectral,HOMO
PHATE,0.99,PHATE,PHATE,simulate,dropout_-1,spectral,HOMO
ivis,0.55,IVIS,IVIS,simulate,dropout_-1,spectral,NMI
scGAE,0.0,scGAE,scGAE,simulate,dropout_-1,spectral,NMI
scGBM,0.88,scGBM,scGBM,simulate,dropout_-1,spectral,NMI
SPDR,0.75,SPDR,SPDR,simulate,dropout_-1,spectral,NMI
pCMF,0.0,pCMF,pCMF,simulate,dropout_-1,spectral,NMI
SQuaD_MDS_hybrid,0.71,SQuaD-MDS hybrid,SQuaD-MDS,simulate,dropout_-1,spectral,NMI
SCDRHA,0.79,SCDRHA,SCDRHA,simulate,dropout_-1,spectral,NMI
TSNE,0.74,t-SNE,t-SNE,simulate,dropout_-1,spectral,NMI
UMAP,0.96,UMAP,UMAP,simulate,dropout_-1,spectral,NMI
VAE,0.86,VAE,VAE,simulate,dropout_-1,spectral,NMI
DREAM,0.04,DREAM,DREAM,simulate,dropout_-1,spectral,NMI
ZIFA,0.93,ZIFA,ZIFA,simulate,dropout_-1,spectral,NMI
SSNMDI,0.0,SSNMDI,SSNMDI,simulate,dropout_-1,spectral,NMI
tGPLVM,0.72,tGPLVM,tGPLVM,simulate,dropout_-1,spectral,NMI
SQuaD_MDS,0.25,SQuaD-MDS,SQuaD-MDS,simulate,dropout_-1,spectral,NMI
GLMPCA,0.84,GLMPCA,GLMPCA,simulate,dropout_-1,spectral,NMI
PaCMAP,0.0,PaCMAP,PaCMAP,simulate,dropout_-1,spectral,NMI
ParametricUMAP200,0.99,Parametric UMAP 200,UMAP,simulate,dropout_-1,spectral,NMI
scScope,0.01,scScope,scScope,simulate,dropout_-1,spectral,NMI
scvis,0.01,scvis,scvis,simulate,dropout_-1,spectral,NMI
EDGE,0.73,EDGE,EDGE,simulate,dropout_-1,spectral,NMI
TriMap,1.0,TriMap,TriMap,simulate,dropout_-1,spectral,NMI
ParametricUMAP50,0.98,Parametric UMAP 50,UMAP,simulate,dropout_-1,spectral,NMI
DRA,0.0,DRA,DRA,simulate,dropout_-1,spectral,NMI
SIMLR,1.0,SIMLR,SIMLR,simulate,dropout_-1,spectral,NMI
SAUCIE,0.0,SAUCIE,SAUCIE,simulate,dropout_-1,spectral,NMI
PCA,0.93,PCA,PCA,simulate,dropout_-1,spectral,NMI
PHATE,0.99,PHATE,PHATE,simulate,dropout_-1,spectral,NMI
ivis,0.52,IVIS,IVIS,simulate,dropout_-1,spectral,SIL
scGAE,0.48,scGAE,scGAE,simulate,dropout_-1,spectral,SIL
scGBM,0.58,scGBM,scGBM,simulate,dropout_-1,spectral,SIL
SPDR,0.36,SPDR,SPDR,simulate,dropout_-1,spectral,SIL
pCMF,-0.67,pCMF,pCMF,simulate,dropout_-1,spectral,SIL
SQuaD_MDS_hybrid,0.43,SQuaD-MDS hybrid,SQuaD-MDS,simulate,dropout_-1,spectral,SIL
SCDRHA,0.31,SCDRHA,SCDRHA,simulate,dropout_-1,spectral,SIL
TSNE,0.33,t-SNE,t-SNE,simulate,dropout_-1,spectral,SIL
UMAP,0.59,UMAP,UMAP,simulate,dropout_-1,spectral,SIL
VAE,0.49,VAE,VAE,simulate,dropout_-1,spectral,SIL
DREAM,0.29,DREAM,DREAM,simulate,dropout_-1,spectral,SIL
ZIFA,0.7,ZIFA,ZIFA,simulate,dropout_-1,spectral,SIL
SSNMDI,0.24,SSNMDI,SSNMDI,simulate,dropout_-1,spectral,SIL
tGPLVM,-0.0,tGPLVM,tGPLVM,simulate,dropout_-1,spectral,SIL
SQuaD_MDS,0.33,SQuaD-MDS,SQuaD-MDS,simulate,dropout_-1,spectral,SIL
GLMPCA,0.46,GLMPCA,GLMPCA,simulate,dropout_-1,spectral,SIL
PaCMAP,0.09,PaCMAP,PaCMAP,simulate,dropout_-1,spectral,SIL
ParametricUMAP200,0.75,Parametric UMAP 200,UMAP,simulate,dropout_-1,spectral,SIL
scScope,0.35,scScope,scScope,simulate,dropout_-1,spectral,SIL
scvis,0.38,scvis,scvis,simulate,dropout_-1,spectral,SIL
EDGE,0.43,EDGE,EDGE,simulate,dropout_-1,spectral,SIL
TriMap,0.87,TriMap,TriMap,simulate,dropout_-1,spectral,SIL
ParametricUMAP50,0.74,Parametric UMAP 50,UMAP,simulate,dropout_-1,spectral,SIL
DRA,0.32,DRA,DRA,simulate,dropout_-1,spectral,SIL
SIMLR,0.81,SIMLR,SIMLR,simulate,dropout_-1,spectral,SIL
SAUCIE,0.44,SAUCIE,SAUCIE,simulate,dropout_-1,spectral,SIL
PCA,0.67,PCA,PCA,simulate,dropout_-1,spectral,SIL
PHATE,0.86,PHATE,PHATE,simulate,dropout_-1,spectral,SIL
ivis,0.5,IVIS,IVIS,simulate,dropout_0,kmeans,ARI
scGAE,0.0,scGAE,scGAE,simulate,dropout_0,kmeans,ARI
scGBM,0.78,scGBM,scGBM,simulate,dropout_0,kmeans,ARI
SPDR,1.0,SPDR,SPDR,simulate,dropout_0,kmeans,ARI
pCMF,-0.0,pCMF,pCMF,simulate,dropout_0,kmeans,ARI
SQuaD_MDS_hybrid,0.79,SQuaD-MDS hybrid,SQuaD-MDS,simulate,dropout_0,kmeans,ARI
SCDRHA,0.27,SCDRHA,SCDRHA,simulate,dropout_0,kmeans,ARI
TSNE,1.0,t-SNE,t-SNE,simulate,dropout_0,kmeans,ARI
UMAP,0.96,UMAP,UMAP,simulate,dropout_0,kmeans,ARI
VAE,0.89,VAE,VAE,simulate,dropout_0,kmeans,ARI
DREAM,0.11,DREAM,DREAM,simulate,dropout_0,kmeans,ARI
ZIFA,0.97,ZIFA,ZIFA,simulate,dropout_0,kmeans,ARI
SSNMDI,0.0,SSNMDI,SSNMDI,simulate,dropout_0,kmeans,ARI
tGPLVM,0.77,tGPLVM,tGPLVM,simulate,dropout_0,kmeans,ARI
SQuaD_MDS,0.28,SQuaD-MDS,SQuaD-MDS,simulate,dropout_0,kmeans,ARI
GLMPCA,0.74,GLMPCA,GLMPCA,simulate,dropout_0,kmeans,ARI
PaCMAP,-0.0,PaCMAP,PaCMAP,simulate,dropout_0,kmeans,ARI
ParametricUMAP200,0.98,Parametric UMAP 200,UMAP,simulate,dropout_0,kmeans,ARI
scScope,0.08,scScope,scScope,simulate,dropout_0,kmeans,ARI
scvis,0.01,scvis,scvis,simulate,dropout_0,kmeans,ARI
EDGE,0.65,EDGE,EDGE,simulate,dropout_0,kmeans,ARI
TriMap,1.0,TriMap,TriMap,simulate,dropout_0,kmeans,ARI
ParametricUMAP50,0.99,Parametric UMAP 50,UMAP,simulate,dropout_0,kmeans,ARI
DRA,-0.0,DRA,DRA,simulate,dropout_0,kmeans,ARI
SIMLR,1.0,SIMLR,SIMLR,simulate,dropout_0,kmeans,ARI
SAUCIE,0.0,SAUCIE,SAUCIE,simulate,dropout_0,kmeans,ARI
PCA,0.79,PCA,PCA,simulate,dropout_0,kmeans,ARI
PHATE,0.99,PHATE,PHATE,simulate,dropout_0,kmeans,ARI
ivis,0.58,IVIS,IVIS,simulate,dropout_0,kmeans,COMP
scGAE,0.0,scGAE,scGAE,simulate,dropout_0,kmeans,COMP
scGBM,0.86,scGBM,scGBM,simulate,dropout_0,kmeans,COMP
SPDR,1.0,SPDR,SPDR,simulate,dropout_0,kmeans,COMP
pCMF,0.0,pCMF,pCMF,simulate,dropout_0,kmeans,COMP
SQuaD_MDS_hybrid,0.74,SQuaD-MDS hybrid,SQuaD-MDS,simulate,dropout_0,kmeans,COMP
SCDRHA,0.41,SCDRHA,SCDRHA,simulate,dropout_0,kmeans,COMP
TSNE,1.0,t-SNE,t-SNE,simulate,dropout_0,kmeans,COMP
UMAP,0.93,UMAP,UMAP,simulate,dropout_0,kmeans,COMP
VAE,0.86,VAE,VAE,simulate,dropout_0,kmeans,COMP
DREAM,0.14,DREAM,DREAM,simulate,dropout_0,kmeans,COMP
ZIFA,0.94,ZIFA,ZIFA,simulate,dropout_0,kmeans,COMP
SSNMDI,0.01,SSNMDI,SSNMDI,simulate,dropout_0,kmeans,COMP
tGPLVM,0.74,tGPLVM,tGPLVM,simulate,dropout_0,kmeans,COMP
SQuaD_MDS,0.3,SQuaD-MDS,SQuaD-MDS,simulate,dropout_0,kmeans,COMP
GLMPCA,0.79,GLMPCA,GLMPCA,simulate,dropout_0,kmeans,COMP
PaCMAP,0.0,PaCMAP,PaCMAP,simulate,dropout_0,kmeans,COMP
ParametricUMAP200,0.95,Parametric UMAP 200,UMAP,simulate,dropout_0,kmeans,COMP
scScope,0.07,scScope,scScope,simulate,dropout_0,kmeans,COMP
scvis,0.01,scvis,scvis,simulate,dropout_0,kmeans,COMP
EDGE,0.66,EDGE,EDGE,simulate,dropout_0,kmeans,COMP
TriMap,1.0,TriMap,TriMap,simulate,dropout_0,kmeans,COMP
ParametricUMAP50,0.97,Parametric UMAP 50,UMAP,simulate,dropout_0,kmeans,COMP
DRA,0.0,DRA,DRA,simulate,dropout_0,kmeans,COMP
SIMLR,0.99,SIMLR,SIMLR,simulate,dropout_0,kmeans,COMP
SAUCIE,0.01,SAUCIE,SAUCIE,simulate,dropout_0,kmeans,COMP
PCA,0.87,PCA,PCA,simulate,dropout_0,kmeans,COMP
PHATE,0.99,PHATE,PHATE,simulate,dropout_0,kmeans,COMP
ivis,0.6,IVIS,IVIS,simulate,dropout_0,kmeans,HOMO
scGAE,0.0,scGAE,scGAE,simulate,dropout_0,kmeans,HOMO
scGBM,0.88,scGBM,scGBM,simulate,dropout_0,kmeans,HOMO
SPDR,1.0,SPDR,SPDR,simulate,dropout_0,kmeans,HOMO
pCMF,0.0,pCMF,pCMF,simulate,dropout_0,kmeans,HOMO
SQuaD_MDS_hybrid,0.76,SQuaD-MDS hybrid,SQuaD-MDS,simulate,dropout_0,kmeans,HOMO
SCDRHA,0.41,SCDRHA,SCDRHA,simulate,dropout_0,kmeans,HOMO
TSNE,1.0,t-SNE,t-SNE,simulate,dropout_0,kmeans,HOMO
UMAP,0.94,UMAP,UMAP,simulate,dropout_0,kmeans,HOMO
VAE,0.88,VAE,VAE,simulate,dropout_0,kmeans,HOMO
DREAM,0.14,DREAM,DREAM,simulate,dropout_0,kmeans,HOMO
ZIFA,0.94,ZIFA,ZIFA,simulate,dropout_0,kmeans,HOMO
SSNMDI,0.01,SSNMDI,SSNMDI,simulate,dropout_0,kmeans,HOMO
tGPLVM,0.72,tGPLVM,tGPLVM,simulate,dropout_0,kmeans,HOMO
SQuaD_MDS,0.32,SQuaD-MDS,SQuaD-MDS,simulate,dropout_0,kmeans,HOMO
GLMPCA,0.81,GLMPCA,GLMPCA,simulate,dropout_0,kmeans,HOMO
PaCMAP,0.0,PaCMAP,PaCMAP,simulate,dropout_0,kmeans,HOMO
ParametricUMAP200,0.96,Parametric UMAP 200,UMAP,simulate,dropout_0,kmeans,HOMO
scScope,0.07,scScope,scScope,simulate,dropout_0,kmeans,HOMO
scvis,0.01,scvis,scvis,simulate,dropout_0,kmeans,HOMO
EDGE,0.68,EDGE,EDGE,simulate,dropout_0,kmeans,HOMO
TriMap,1.0,TriMap,TriMap,simulate,dropout_0,kmeans,HOMO
ParametricUMAP50,0.97,Parametric UMAP 50,UMAP,simulate,dropout_0,kmeans,HOMO
DRA,0.0,DRA,DRA,simulate,dropout_0,kmeans,HOMO
SIMLR,0.99,SIMLR,SIMLR,simulate,dropout_0,kmeans,HOMO
SAUCIE,0.01,SAUCIE,SAUCIE,simulate,dropout_0,kmeans,HOMO
PCA,0.89,PCA,PCA,simulate,dropout_0,kmeans,HOMO
PHATE,0.99,PHATE,PHATE,simulate,dropout_0,kmeans,HOMO
ivis,0.59,IVIS,IVIS,simulate,dropout_0,kmeans,NMI
scGAE,0.0,scGAE,scGAE,simulate,dropout_0,kmeans,NMI
scGBM,0.87,scGBM,scGBM,simulate,dropout_0,kmeans,NMI
SPDR,1.0,SPDR,SPDR,simulate,dropout_0,kmeans,NMI
pCMF,0.0,pCMF,pCMF,simulate,dropout_0,kmeans,NMI
SQuaD_MDS_hybrid,0.75,SQuaD-MDS hybrid,SQuaD-MDS,simulate,dropout_0,kmeans,NMI
SCDRHA,0.41,SCDRHA,SCDRHA,simulate,dropout_0,kmeans,NMI
TSNE,1.0,t-SNE,t-SNE,simulate,dropout_0,kmeans,NMI
UMAP,0.93,UMAP,UMAP,simulate,dropout_0,kmeans,NMI
VAE,0.87,VAE,VAE,simulate,dropout_0,kmeans,NMI
DREAM,0.14,DREAM,DREAM,simulate,dropout_0,kmeans,NMI
ZIFA,0.94,ZIFA,ZIFA,simulate,dropout_0,kmeans,NMI
SSNMDI,0.01,SSNMDI,SSNMDI,simulate,dropout_0,kmeans,NMI
tGPLVM,0.73,tGPLVM,tGPLVM,simulate,dropout_0,kmeans,NMI
SQuaD_MDS,0.31,SQuaD-MDS,SQuaD-MDS,simulate,dropout_0,kmeans,NMI
GLMPCA,0.8,GLMPCA,GLMPCA,simulate,dropout_0,kmeans,NMI
PaCMAP,0.0,PaCMAP,PaCMAP,simulate,dropout_0,kmeans,NMI
ParametricUMAP200,0.96,Parametric UMAP 200,UMAP,simulate,dropout_0,kmeans,NMI
scScope,0.07,scScope,scScope,simulate,dropout_0,kmeans,NMI
scvis,0.01,scvis,scvis,simulate,dropout_0,kmeans,NMI
EDGE,0.67,EDGE,EDGE,simulate,dropout_0,kmeans,NMI
TriMap,1.0,TriMap,TriMap,simulate,dropout_0,kmeans,NMI
ParametricUMAP50,0.97,Parametric UMAP 50,UMAP,simulate,dropout_0,kmeans,NMI
DRA,0.0,DRA,DRA,simulate,dropout_0,kmeans,NMI
SIMLR,0.99,SIMLR,SIMLR,simulate,dropout_0,kmeans,NMI
SAUCIE,0.01,SAUCIE,SAUCIE,simulate,dropout_0,kmeans,NMI
PCA,0.88,PCA,PCA,simulate,dropout_0,kmeans,NMI
PHATE,0.99,PHATE,PHATE,simulate,dropout_0,kmeans,NMI
ivis,0.54,IVIS,IVIS,simulate,dropout_0,kmeans,SIL
scGAE,0.48,scGAE,scGAE,simulate,dropout_0,kmeans,SIL
scGBM,0.56,scGBM,scGBM,simulate,dropout_0,kmeans,SIL
SPDR,0.88,SPDR,SPDR,simulate,dropout_0,kmeans,SIL
pCMF,0.14,pCMF,pCMF,simulate,dropout_0,kmeans,SIL
SQuaD_MDS_hybrid,0.45,SQuaD-MDS hybrid,SQuaD-MDS,simulate,dropout_0,kmeans,SIL
SCDRHA,0.46,SCDRHA,SCDRHA,simulate,dropout_0,kmeans,SIL
TSNE,0.78,t-SNE,t-SNE,simulate,dropout_0,kmeans,SIL
UMAP,0.6,UMAP,UMAP,simulate,dropout_0,kmeans,SIL
VAE,0.5,VAE,VAE,simulate,dropout_0,kmeans,SIL
DREAM,0.32,DREAM,DREAM,simulate,dropout_0,kmeans,SIL
ZIFA,0.71,ZIFA,ZIFA,simulate,dropout_0,kmeans,SIL
SSNMDI,0.61,SSNMDI,SSNMDI,simulate,dropout_0,kmeans,SIL
tGPLVM,0.69,tGPLVM,tGPLVM,simulate,dropout_0,kmeans,SIL
SQuaD_MDS,0.32,SQuaD-MDS,SQuaD-MDS,simulate,dropout_0,kmeans,SIL
GLMPCA,0.49,GLMPCA,GLMPCA,simulate,dropout_0,kmeans,SIL
PaCMAP,0.93,PaCMAP,PaCMAP,simulate,dropout_0,kmeans,SIL
ParametricUMAP200,0.74,Parametric UMAP 200,UMAP,simulate,dropout_0,kmeans,SIL
scScope,0.36,scScope,scScope,simulate,dropout_0,kmeans,SIL
scvis,0.81,scvis,scvis,simulate,dropout_0,kmeans,SIL
EDGE,0.41,EDGE,EDGE,simulate,dropout_0,kmeans,SIL
TriMap,0.87,TriMap,TriMap,simulate,dropout_0,kmeans,SIL
ParametricUMAP50,0.74,Parametric UMAP 50,UMAP,simulate,dropout_0,kmeans,SIL
DRA,0.32,DRA,DRA,simulate,dropout_0,kmeans,SIL
SIMLR,0.76,SIMLR,SIMLR,simulate,dropout_0,kmeans,SIL
SAUCIE,0.44,SAUCIE,SAUCIE,simulate,dropout_0,kmeans,SIL
PCA,0.59,PCA,PCA,simulate,dropout_0,kmeans,SIL
PHATE,0.79,PHATE,PHATE,simulate,dropout_0,kmeans,SIL
ivis,0.14,IVIS,IVIS,simulate,dropout_0,louvain,ARI
scGAE,0.03,scGAE,scGAE,simulate,dropout_0,louvain,ARI
scGBM,0.22,scGBM,scGBM,simulate,dropout_0,louvain,ARI
SPDR,0.24,SPDR,SPDR,simulate,dropout_0,louvain,ARI
pCMF,0.0,pCMF,pCMF,simulate,dropout_0,louvain,ARI
SQuaD_MDS_hybrid,0.23,SQuaD-MDS hybrid,SQuaD-MDS,simulate,dropout_0,louvain,ARI
SCDRHA,0.15,SCDRHA,SCDRHA,simulate,dropout_0,louvain,ARI
TSNE,0.29,t-SNE,t-SNE,simulate,dropout_0,louvain,ARI
UMAP,0.28,UMAP,UMAP,simulate,dropout_0,louvain,ARI
VAE,0.24,VAE,VAE,simulate,dropout_0,louvain,ARI
DREAM,0.05,DREAM,DREAM,simulate,dropout_0,louvain,ARI
ZIFA,0.28,ZIFA,ZIFA,simulate,dropout_0,louvain,ARI
SSNMDI,0.0,SSNMDI,SSNMDI,simulate,dropout_0,louvain,ARI
tGPLVM,0.17,tGPLVM,tGPLVM,simulate,dropout_0,louvain,ARI
SQuaD_MDS,0.11,SQuaD-MDS,SQuaD-MDS,simulate,dropout_0,louvain,ARI
GLMPCA,0.21,GLMPCA,GLMPCA,simulate,dropout_0,louvain,ARI
PaCMAP,0.0,PaCMAP,PaCMAP,simulate,dropout_0,louvain,ARI
ParametricUMAP200,0.24,Parametric UMAP 200,UMAP,simulate,dropout_0,louvain,ARI
scScope,0.03,scScope,scScope,simulate,dropout_0,louvain,ARI
scvis,0.01,scvis,scvis,simulate,dropout_0,louvain,ARI
EDGE,0.22,EDGE,EDGE,simulate,dropout_0,louvain,ARI
TriMap,0.26,TriMap,TriMap,simulate,dropout_0,louvain,ARI
ParametricUMAP50,0.24,Parametric UMAP 50,UMAP,simulate,dropout_0,louvain,ARI
DRA,0.0,DRA,DRA,simulate,dropout_0,louvain,ARI
SIMLR,0.26,SIMLR,SIMLR,simulate,dropout_0,louvain,ARI
SAUCIE,0.0,SAUCIE,SAUCIE,simulate,dropout_0,louvain,ARI
PCA,0.23,PCA,PCA,simulate,dropout_0,louvain,ARI
PHATE,0.29,PHATE,PHATE,simulate,dropout_0,louvain,ARI
ivis,0.3,IVIS,IVIS,simulate,dropout_0,louvain,COMP
scGAE,0.07,scGAE,scGAE,simulate,dropout_0,louvain,COMP
scGBM,0.42,scGBM,scGBM,simulate,dropout_0,louvain,COMP
SPDR,0.47,SPDR,SPDR,simulate,dropout_0,louvain,COMP
pCMF,0.01,pCMF,pCMF,simulate,dropout_0,louvain,COMP
SQuaD_MDS_hybrid,0.4,SQuaD-MDS hybrid,SQuaD-MDS,simulate,dropout_0,louvain,COMP
SCDRHA,0.38,SCDRHA,SCDRHA,simulate,dropout_0,louvain,COMP
TSNE,0.5,t-SNE,t-SNE,simulate,dropout_0,louvain,COMP
UMAP,0.48,UMAP,UMAP,simulate,dropout_0,louvain,COMP
VAE,0.44,VAE,VAE,simulate,dropout_0,louvain,COMP
DREAM,0.09,DREAM,DREAM,simulate,dropout_0,louvain,COMP
ZIFA,0.48,ZIFA,ZIFA,simulate,dropout_0,louvain,COMP
SSNMDI,0.01,SSNMDI,SSNMDI,simulate,dropout_0,louvain,COMP
tGPLVM,0.35,tGPLVM,tGPLVM,simulate,dropout_0,louvain,COMP
SQuaD_MDS,0.19,SQuaD-MDS,SQuaD-MDS,simulate,dropout_0,louvain,COMP
GLMPCA,0.39,GLMPCA,GLMPCA,simulate,dropout_0,louvain,COMP
PaCMAP,0.01,PaCMAP,PaCMAP,simulate,dropout_0,louvain,COMP
ParametricUMAP200,0.46,Parametric UMAP 200,UMAP,simulate,dropout_0,louvain,COMP
scScope,0.05,scScope,scScope,simulate,dropout_0,louvain,COMP
scvis,0.02,scvis,scvis,simulate,dropout_0,louvain,COMP
EDGE,0.38,EDGE,EDGE,simulate,dropout_0,louvain,COMP
