method_raw,method_id,parent_method,perturbation_axis,score
ParametricUMAP200,Parametric UMAP 200,UMAP,cell_number,0.6181363627113978
ParametricUMAP50,Parametric UMAP 50,UMAP,cell_number,0.6162672987838309
SAUCIE,SAUCIE,SAUCIE,cell_number,0.1439438252657219
SCDRHA,SCDRHA,SCDRHA,cell_number,0.4028404218904555
SIMLR,SIMLR,SIMLR,cell_number,0.6367869190209426
SPDR,SPDR,SPDR,cell_number,0.6460355725123851
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,cell_number,0.4490900524738895
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,cell_number,0.5723336199439802
SSNMDI,SSNMDI,SSNMDI,cell_number,0.1525368911175403
TSNE,t-SNE,t-SNE,cell_number,0.6450669752590636
TriMap,TriMap,TriMap,cell_number,0.6716729903583395
UMAP,UMAP,UMAP,cell_number,0.5956482605983382
VAE,VAE,VAE,cell_number,0.5558215913720532
ZIFA,ZIFA,ZIFA,cell_number,0.5968468533563878
ivis,IVIS,IVIS,cell_number,0.4502708049824035
pCMF,pCMF,pCMF,cell_number,0.1411782380973407
scGAE,scGAE,scGAE,cell_number,0.1974263772119363
scGBM,scGBM,scGBM,cell_number,0.5769744201453216
scScope,scScope,scScope,cell_number,0.3961535432226534
scvis,scvis,scvis,cell_number,0.1850854847117535
tGPLVM,tGPLVM,tGPLVM,cell_number,0.530008274882307
DRA,DRA,DRA,celltype_number,0.1897027789285673
DREAM,DREAM,DREAM,celltype_number,0.1828705394258632
EDGE,EDGE,EDGE,celltype_number,0.4338243337702144
GLMPCA,GLMPCA,GLMPCA,celltype_number,0.5026220326492223
PCA,PCA,PCA,celltype_number,0.5218423417834868
PHATE,PHATE,PHATE,celltype_number,0.7789163288038138
PaCMAP,PaCMAP,PaCMAP,celltype_number,0.1975444165601582
ParametricUMAP200,Parametric UMAP 200,UMAP,celltype_number,0.7238414612986173
ParametricUMAP50,Parametric UMAP 50,UMAP,celltype_number,0.7037051022095839
SAUCIE,SAUCIE,SAUCIE,celltype_number,0.1311059636806396
SCDRHA,SCDRHA,SCDRHA,celltype_number,0.5249158704032002
SIMLR,SIMLR,SIMLR,celltype_number,0.791543270573378
SPDR,SPDR,SPDR,celltype_number,0.8453809551740825
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,celltype_number,0.4278702038080252
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,celltype_number,0.5740789307780407
SSNMDI,SSNMDI,SSNMDI,celltype_number,0.1804233749632076
TSNE,t-SNE,t-SNE,celltype_number,0.8419310280858696
TriMap,TriMap,TriMap,celltype_number,0.8600449010109694
UMAP,UMAP,UMAP,celltype_number,0.6764701106838252
VAE,VAE,VAE,celltype_number,0.7965530058421662
ZIFA,ZIFA,ZIFA,celltype_number,0.4636743020996
ivis,IVIS,IVIS,celltype_number,0.2251230066970115
pCMF,pCMF,pCMF,celltype_number,0.1593842630473728
scGAE,scGAE,scGAE,celltype_number,0.1539534034706363
