method_raw,method_id,parent_method,perturbation_axis,score,family
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,dropout,0.6846167699917001,metric/structure-aware
SSNMDI,SSNMDI,SSNMDI,dropout,0.1049516629520352,linear/probabilistic
TSNE,t-SNE,t-SNE,dropout,0.718298695448338,metric/structure-aware
TriMap,TriMap,TriMap,dropout,0.8059760791111067,metric/structure-aware
UMAP,UMAP,UMAP,dropout,0.7291739910202365,graph/diffusion
VAE,VAE,VAE,dropout,0.6440316242864108,deep generative/autoencoder
ZIFA,ZIFA,ZIFA,dropout,0.6658250217671839,linear/probabilistic
ivis,IVIS,IVIS,dropout,0.5059534193078405,metric/structure-aware
pCMF,pCMF,pCMF,dropout,0.1325848821346411,linear/probabilistic
scGAE,scGAE,scGAE,dropout,0.2501117492795352,deep generative/autoencoder
scGBM,scGBM,scGBM,dropout,0.6220572274782826,linear/probabilistic
scScope,scScope,scScope,dropout,0.1955885016766765,deep generative/autoencoder
scvis,scvis,scvis,dropout,0.1666444455347927,deep generative/autoencoder
tGPLVM,tGPLVM,tGPLVM,dropout,0.3236951819991585,linear/probabilistic
DRA,DRA,DRA,gene_number,0.1268352225840869,deep generative/autoencoder
DREAM,DREAM,DREAM,gene_number,0.3159615557998821,deep generative/autoencoder
EDGE,EDGE,EDGE,gene_number,0.7068173817801396,graph/diffusion
GLMPCA,GLMPCA,GLMPCA,gene_number,0.6845245728826419,linear/probabilistic
PCA,PCA,PCA,gene_number,0.7001763037498774,linear/probabilistic
PHATE,PHATE,PHATE,gene_number,0.7841433984560197,graph/diffusion
PaCMAP,PaCMAP,PaCMAP,gene_number,0.1267127735312762,metric/structure-aware
ParametricUMAP200,Parametric UMAP 200,UMAP,gene_number,0.7999898917236961,graph/diffusion
ParametricUMAP50,Parametric UMAP 50,UMAP,gene_number,0.7907192062802133,graph/diffusion
SAUCIE,SAUCIE,SAUCIE,gene_number,0.1120970586575799,deep generative/autoencoder
SCDRHA,SCDRHA,SCDRHA,gene_number,0.6064762149337747,deep generative/autoencoder
SIMLR,SIMLR,SIMLR,gene_number,0.8370057719138172,graph/diffusion
SPDR,SPDR,SPDR,gene_number,0.8189764504787866,graph/diffusion
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,gene_number,0.4692071435395464,metric/structure-aware
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,gene_number,0.7475143360739172,metric/structure-aware
SSNMDI,SSNMDI,SSNMDI,gene_number,0.1157900611119457,linear/probabilistic
TSNE,t-SNE,t-SNE,gene_number,0.7953373267485098,metric/structure-aware
TriMap,TriMap,TriMap,gene_number,0.8512334683184696,metric/structure-aware
UMAP,UMAP,UMAP,gene_number,0.7935960101449436,graph/diffusion
