n_labels,ari,nmi,homogeneity,completeness,silhouette_label,trustworthiness_k30,work_package,dataset_id,method,environment,dimension,seed,max_epochs,n_cells,n_genes,runtime_seconds,max_rss_mb,metric_sample_size,metric_sample_size_requested,method_raw,method_id,parent_method,control_layer,source,standardized,explained_variance_ratio_sum,analysis_inclusion,method_class,max_iter,min_iter,iter_max,iter_min,pseudocount,zero_inflation,sparsity,training_steps,layers,workflow,pca_components,hvg_requested,hvg_actual,n_genes_total,n_genes_input,model_input
11,0.0915212318792831,0.1583323280005368,0.1590903270690682,0.1575815177791052,-0.0206440184265375,0.5614647650720559,scVI reference analysis,celltype_11,scVI,Python modern,10,2,20.0,2000,3000.0,11.462984800338743,791.0625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
11,0.0970801915737472,0.1581786232577665,0.1590147084192091,0.1573512842324116,0.004696060437709,0.5827791677325829,scVI reference analysis,celltype_11,scVI,Python modern,20,0,20.0,2000,3000.0,13.83955430984497,792.46484375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
11,0.0621261678402671,0.1157288119762695,0.1161498562085569,0.1153108092962885,-0.0083626480773091,0.5795315937579943,scVI reference analysis,celltype_11,scVI,Python modern,20,1,20.0,2000,3000.0,17.32054090499878,798.5234375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
11,0.1204275975463078,0.1907065495490719,0.1910177963349384,0.1903963154119923,0.0076328772120177,0.5718145390978084,scVI reference analysis,celltype_11,scVI,Python modern,20,2,20.0,2000,3000.0,18.75624632835388,797.8359375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
11,0.277791296335173,0.3622083567479664,0.3634601110370634,0.3609651949339121,0.0308148376643657,0.6049935448111197,scVI reference analysis,celltype_11,scVI,Python modern,50,0,20.0,2000,3000.0,18.33203077316284,801.08984375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
11,0.3306575217387711,0.3829595742410323,0.3850720050688994,0.3808701937405481,0.0323245152831077,0.6235673488530741,scVI reference analysis,celltype_11,scVI,Python modern,50,1,20.0,2000,3000.0,16.907621145248413,797.9140625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
11,0.2735842002082869,0.344263340339163,0.3452580343191717,0.3432743613530475,0.025169514119625,0.6050423552485716,scVI reference analysis,celltype_11,scVI,Python modern,50,2,20.0,2000,3000.0,11.475603580474854,794.36328125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
15,0.0073727970598826,0.0393512498490554,0.0395999682029011,0.0391056362810826,-0.1569538414478302,0.5098728489809841,scVI reference analysis,celltype_15,scVI,Python modern,2,0,20.0,2000,3000.0,11.037426710128784,795.2265625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
15,0.0187847068326935,0.0523389322475144,0.0524020683864827,0.0522759480634304,-0.16951285302639,0.5157355589664876,scVI reference analysis,celltype_15,scVI,Python modern,2,1,20.0,2000,3000.0,11.201677799224854,797.17578125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
15,0.0047839633761179,0.0298457394703898,0.0294382136706026,0.0302647067681003,-0.1396980285644531,0.513141016457747,scVI reference analysis,celltype_15,scVI,Python modern,2,2,20.0,2000,3000.0,11.324715375900269,802.875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
