metric_sample_size,n_labels,ari,nmi,homogeneity,completeness,silhouette_label,trustworthiness_k30,work_package,dataset_id,method,environment,hvg_requested,hvg_actual,seed,n_cells,n_genes_total,n_genes_input,metric_sample_size_requested,runtime_seconds,max_rss_mb,workflow,dimension,pca_components,model_input,max_epochs,max_iter,min_iter,analysis_inclusion,method_raw,method_id,parent_method,control_layer,method_order
2000,7,0.9762059615325462,0.9658523442866476,0.9659319164146118,0.9657727852676858,0.135845350572701,0.7092632301526391,Input-gene sensitivity,celltype_7,PCA,Python modern,1000,1000,0,2000,3000,1000,5000,0.8131883144378662,1287.61328125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,7,0.8752874590925359,0.8451888164419438,0.8454192156368248,0.8449585427926506,0.0857669767082523,0.7334336147352264,Input-gene sensitivity,celltype_7,PCA,Python modern,500,500,2,2000,3000,500,5000,0.9364690780639648,1287.61328125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,7,0.8629654674782511,0.8331714575986016,0.8335325750333565,0.8328106529274588,0.084534275430984,0.7342668713225888,Input-gene sensitivity,celltype_7,PCA,Python modern,500,500,1,2000,3000,500,5000,0.9278395175933838,1287.61328125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,7,0.8645984965812111,0.834367187185602,0.8350086518656854,0.833726707312264,0.0844625730478463,0.7303141042039738,Input-gene sensitivity,celltype_7,PCA,Python modern,500,500,0,2000,3000,500,5000,0.9161653518676758,1287.61328125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.9950652243167056,0.9890396746654404,0.9893219009077108,0.9887576093999682,0.1625102548719524,0.7532726699070521,Input-gene sensitivity,gene_5w,PCA,Python modern,1000,1000,2,2000,3000,1000,5000,0.7856149673461914,2237.64453125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.9950652243167056,0.9890396746654404,0.9893219009077104,0.988757609399968,0.1635419462118749,0.7517895796026264,Input-gene sensitivity,gene_5w,PCA,Python modern,1000,1000,1,2000,3000,1000,5000,0.7941668033599854,2237.64453125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.996197874246304,0.9912600632403328,0.9913612066526044,0.991158940464225,0.1652353104373389,0.7554599812398738,Input-gene sensitivity,gene_5w,PCA,Python modern,1000,1000,0,2000,3000,1000,5000,0.6620690822601318,2237.64453125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,11,0.994740648052856,0.9924569803134432,0.9927391734329128,0.992174947579156,0.1980499609565051,0.6902205679201842,Input-gene sensitivity,celltype_11,PCA,Python modern,2000,2000,2,2000,3000,2000,5000,0.8821029663085938,1497.48828125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,11,0.9942671805864604,0.9915961623589388,0.991863368098221,0.9913291005501208,0.1982879051229442,0.6901883005031124,Input-gene sensitivity,celltype_11,PCA,Python modern,2000,2000,1,2000,3000,2000,5000,0.9579379558563232,1497.48828125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,11,0.994927871210664,0.992811010309127,0.99303560276324,0.992586519423104,0.1964293776150159,0.691503121002814,Input-gene sensitivity,celltype_11,PCA,Python modern,2000,2000,0,2000,3000,2000,5000,0.8897871971130371,1497.48828125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,15,1.0,1.0,1.0,1.0000000000000002,0.3851587636292379,0.6774230579005713,Input-gene sensitivity,celltype_15,PCA,Python modern,3000,3000,2,2000,3000,3000,5000,1.14524245262146,1741.40625,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,15,1.0,1.0,1.0,1.0000000000000002,0.3862684481791991,0.6773120064807708,Input-gene sensitivity,celltype_15,PCA,Python modern,3000,3000,1,2000,3000,3000,5000,0.9976341724395752,1741.40625,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.998866722464744,0.9977764261190204,0.9975929756324592,0.9979599440885564,0.188492391200597,0.728939728830903,Input-gene sensitivity,dropout_0,PCA,Python modern,2000,2000,2,2000,3000,2000,5000,0.7979471683502197,1817.73828125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,1.0,1.0,1.0,1.0,0.1888932003301121,0.7314221966402319,Input-gene sensitivity,dropout_0,PCA,Python modern,2000,2000,1,2000,3000,2000,5000,0.7691307067871094,1817.73828125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.9981860596862684,0.995675159541157,0.995553669887566,0.9957966788496784,0.188956941756021,0.728780924362582,Input-gene sensitivity,dropout_0,PCA,Python modern,2000,2000,0,2000,3000,2000,5000,0.8829023838043213,1817.73828125,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.9937544350026992,0.987219310022072,0.9874701541339445,0.986968593320204,0.1674154616715585,0.7318646286347744,Input-gene sensitivity,dropout_0,PCA,Python modern,1000,1000,2,2000,3000,1000,5000,0.888268232345581,1810.60546875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
