method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,Qlocal,0.415,TI,muscle,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,1.0,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,1.0,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,1753.0,TI,muscle,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.563,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.465,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.615,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.573,TI,neuron,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.655,TI,neuron,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.862,TI,neuron,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.364,TI,neuron,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.454,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.5,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,1361.0,TI,neuron,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.609,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.523,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.715,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.584,TI,pair-1,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.621,TI,pair-1,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.817,TI,pair-1,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.332,TI,pair-1,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.867,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.625,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,5076.0,TI,pair-1,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.623,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.504,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.872,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.593,TI,pair-2,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.546,TI,pair-2,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.86,TI,pair-2,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.362,TI,pair-2,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.53,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.615,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,5716.0,TI,pair-2,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.648,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.606,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.789,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.583,TI,pair-3,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.581,TI,pair-3,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.86,TI,pair-3,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.362,TI,pair-3,dr2,0,trajectory,other
