parent_method,score,perturbation_axis,method_order,panel_source,method_id,method_raw,metric,value,dataset_category,dataset_id,structure_table,collection,sim_axis,clustering_algorithm
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,0.86,simulate,cell_500,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.86,simulate,cell_500,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.43,simulate,cell_500,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,1.0,simulate,cell_5k,,simulated,cells,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,1.0,simulate,cell_5k,,simulated,cells,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,cell_5k,,simulated,cells,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,1.0,simulate,cell_5k,,simulated,cells,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.81,simulate,cell_5k,,simulated,cells,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.14,simulate,cell_5k,,simulated,cells,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.39,simulate,cell_5k,,simulated,cells,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,cell_5k,,simulated,cells,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.56,simulate,cell_5k,,simulated,cells,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.23,simulate,cell_5k,,simulated,cells,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.61,simulate,cell_5k,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.85,simulate,cell_5k,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,0.8,simulate,cell_5k,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.82,simulate,cell_5k,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.5,simulate,cell_5k,,simulated,cells,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,1.0,simulate,celltype_11,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,1.0,simulate,celltype_11,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,celltype_11,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,1.0,simulate,celltype_11,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.86,simulate,celltype_11,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.69,simulate,celltype_11,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.78,simulate,celltype_11,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,celltype_11,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.88,simulate,celltype_11,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.4,simulate,celltype_11,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.63,simulate,celltype_11,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.88,simulate,celltype_11,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,0.82,simulate,celltype_11,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.85,simulate,celltype_11,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.33,simulate,celltype_11,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,1.0,simulate,celltype_13,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,1.0,simulate,celltype_13,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,celltype_13,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,1.0,simulate,celltype_13,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.86,simulate,celltype_13,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.71,simulate,celltype_13,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.82,simulate,celltype_13,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,celltype_13,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.9,simulate,celltype_13,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.43,simulate,celltype_13,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.34,simulate,celltype_13,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.75,simulate,celltype_13,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,0.68,simulate,celltype_13,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.71,simulate,celltype_13,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,-0.04,simulate,celltype_13,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,1.0,simulate,celltype_15,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,1.0,simulate,celltype_15,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,celltype_15,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,1.0,simulate,celltype_15,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.85,simulate,celltype_15,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.8,simulate,celltype_15,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.88,simulate,celltype_15,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,celltype_15,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.94,simulate,celltype_15,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.62,simulate,celltype_15,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.32,simulate,celltype_15,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.74,simulate,celltype_15,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,0.66,simulate,celltype_15,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.7,simulate,celltype_15,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,-0.14,simulate,celltype_15,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,1.0,simulate,celltype_7,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,1.0,simulate,celltype_7,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,celltype_7,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,1.0,simulate,celltype_7,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.85,simulate,celltype_7,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.45,simulate,celltype_7,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.62,simulate,celltype_7,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,celltype_7,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.76,simulate,celltype_7,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.25,simulate,celltype_7,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.74,simulate,celltype_7,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.89,simulate,celltype_7,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,0.85,simulate,celltype_7,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.87,simulate,celltype_7,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.38,simulate,celltype_7,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,1.0,simulate,celltype_9,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,1.0,simulate,celltype_9,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,celltype_9,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,1.0,simulate,celltype_9,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.85,simulate,celltype_9,,simulated,cell types,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.57,simulate,celltype_9,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.71,simulate,celltype_9,,simulated,cell types,louvain
