method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,nh_20,0.794,TI,epidermis,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.792,TI,epidermis,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.858,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.88,TI,horns,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.884,TI,horns,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.888,TI,horns,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.848,TI,horns,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.855,TI,horns,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.864,TI,horns,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.661,TI,horns,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.659,TI,horns,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.637,TI,horns,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.578,TI,horns,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.561,TI,horns,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.542,TI,horns,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.643,TI,horns,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.597,TI,muscle,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.587,TI,muscle,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.579,TI,muscle,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.524,TI,muscle,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.525,TI,muscle,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.528,TI,muscle,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.601,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.611,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.612,TI,muscle,dr1,0,trajectory,other
