method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,method_order,collection,sim_axis
PCA,0.2,PCA,PCA,TI,neuron,louvain,COMP,0,trajectory,other
PCA,0.44,PCA,PCA,TI,neuron,louvain,HOMO,0,trajectory,other
PCA,0.27,PCA,PCA,TI,neuron,louvain,NMI,0,trajectory,other
PCA,0.23,PCA,PCA,TI,neuron,louvain,SIL,0,trajectory,other
PCA,0.22,PCA,PCA,TI,neuron,spectral,ARI,0,trajectory,other
PCA,0.27,PCA,PCA,TI,neuron,spectral,COMP,0,trajectory,other
PCA,0.34,PCA,PCA,TI,neuron,spectral,HOMO,0,trajectory,other
PCA,0.3,PCA,PCA,TI,neuron,spectral,NMI,0,trajectory,other
PCA,0.26,PCA,PCA,TI,neuron,spectral,SIL,0,trajectory,other
PCA,0.39,PCA,PCA,TI,pair-1,kmeans,ARI,0,trajectory,other
PCA,0.41,PCA,PCA,TI,pair-1,kmeans,COMP,0,trajectory,other
PCA,0.47,PCA,PCA,TI,pair-1,kmeans,HOMO,0,trajectory,other
PCA,0.44,PCA,PCA,TI,pair-1,kmeans,NMI,0,trajectory,other
PCA,0.43,PCA,PCA,TI,pair-1,kmeans,SIL,0,trajectory,other
PCA,0.02,PCA,PCA,TI,pair-1,louvain,ARI,0,trajectory,other
PCA,0.17,PCA,PCA,TI,pair-1,louvain,COMP,0,trajectory,other
PCA,0.65,PCA,PCA,TI,pair-1,louvain,HOMO,0,trajectory,other
PCA,0.26,PCA,PCA,TI,pair-1,louvain,NMI,0,trajectory,other
PCA,0.19,PCA,PCA,TI,pair-1,louvain,SIL,0,trajectory,other
PCA,0.18,PCA,PCA,TI,pair-1,spectral,ARI,0,trajectory,other
PCA,0.31,PCA,PCA,TI,pair-1,spectral,COMP,0,trajectory,other
PCA,0.52,PCA,PCA,TI,pair-1,spectral,HOMO,0,trajectory,other
PCA,0.39,PCA,PCA,TI,pair-1,spectral,NMI,0,trajectory,other
PCA,0.27,PCA,PCA,TI,pair-1,spectral,SIL,0,trajectory,other
PCA,0.48,PCA,PCA,TI,pair-2,kmeans,ARI,0,trajectory,other
PCA,0.47,PCA,PCA,TI,pair-2,kmeans,COMP,0,trajectory,other
PCA,0.54,PCA,PCA,TI,pair-2,kmeans,HOMO,0,trajectory,other
PCA,0.5,PCA,PCA,TI,pair-2,kmeans,NMI,0,trajectory,other
PCA,0.41,PCA,PCA,TI,pair-2,kmeans,SIL,0,trajectory,other
PCA,0.01,PCA,PCA,TI,pair-2,louvain,ARI,0,trajectory,other
PCA,0.21,PCA,PCA,TI,pair-2,louvain,COMP,0,trajectory,other
PCA,0.64,PCA,PCA,TI,pair-2,louvain,HOMO,0,trajectory,other
PCA,0.32,PCA,PCA,TI,pair-2,louvain,NMI,0,trajectory,other
PCA,0.2,PCA,PCA,TI,pair-2,louvain,SIL,0,trajectory,other
PCA,0.14,PCA,PCA,TI,pair-2,spectral,ARI,0,trajectory,other
