method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,aji_20,0.021,VASC,Xin,dr1,0,VASC,other
PCA,PCA,PCA,aji_30,0.028,VASC,Xin,dr1,0,VASC,other
PCA,PCA,PCA,nkr_10,0.021,VASC,Xin,dr1,0,VASC,other
PCA,PCA,PCA,nkr_20,0.037,VASC,Xin,dr1,0,VASC,other
PCA,PCA,PCA,nkr_30,0.05,VASC,Xin,dr1,0,VASC,other
PCA,PCA,PCA,Mrre_missing_10,0.901,VASC,Zeisel,dr3,0,VASC,other
PCA,PCA,PCA,Mrre_missing_20,0.898,VASC,Zeisel,dr3,0,VASC,other
PCA,PCA,PCA,Mrre_missing_30,0.896,VASC,Zeisel,dr3,0,VASC,other
PCA,PCA,PCA,aji_10,0.022,VASC,Zeisel,dr1,0,VASC,other
PCA,PCA,PCA,aji_20,0.036,VASC,Zeisel,dr1,0,VASC,other
PCA,PCA,PCA,aji_30,0.049,VASC,Zeisel,dr1,0,VASC,other
PCA,PCA,PCA,nkr_10,0.042,VASC,Zeisel,dr1,0,VASC,other
PCA,PCA,PCA,nkr_20,0.068,VASC,Zeisel,dr1,0,VASC,other
PCA,PCA,PCA,nkr_30,0.089,VASC,Zeisel,dr1,0,VASC,other
PCA,PCA,PCA,Mrre_missing_10,0.954,VASC,yan,dr3,0,VASC,other
PCA,PCA,PCA,Mrre_missing_20,0.95,VASC,yan,dr3,0,VASC,other
PCA,PCA,PCA,Mrre_missing_30,0.948,VASC,yan,dr3,0,VASC,other
PCA,PCA,PCA,aji_10,0.516,VASC,yan,dr1,0,VASC,other
PCA,PCA,PCA,aji_20,0.738,VASC,yan,dr1,0,VASC,other
PCA,PCA,PCA,aji_30,0.841,VASC,yan,dr1,0,VASC,other
PCA,PCA,PCA,nkr_10,0.708,VASC,yan,dr1,0,VASC,other
PCA,PCA,PCA,nkr_20,0.876,VASC,yan,dr1,0,VASC,other
PCA,PCA,PCA,nkr_30,0.944,VASC,yan,dr1,0,VASC,other
PCA,PCA,PCA,Mrre_missing_10,0.806,benchmarker,Baron_mouse,dr3,0,curated,other
PCA,PCA,PCA,Mrre_missing_20,0.802,benchmarker,Baron_mouse,dr3,0,curated,other
PCA,PCA,PCA,Mrre_missing_30,0.8,benchmarker,Baron_mouse,dr3,0,curated,other
PCA,PCA,PCA,aji_10,0.024,benchmarker,Baron_mouse,dr1,0,curated,other
PCA,PCA,PCA,aji_20,0.039,benchmarker,Baron_mouse,dr1,0,curated,other
PCA,PCA,PCA,aji_30,0.055,benchmarker,Baron_mouse,dr1,0,curated,other
PCA,PCA,PCA,nkr_10,0.046,benchmarker,Baron_mouse,dr1,0,curated,other
PCA,PCA,PCA,nkr_20,0.073,benchmarker,Baron_mouse,dr1,0,curated,other
PCA,PCA,PCA,nkr_30,0.096,benchmarker,Baron_mouse,dr1,0,curated,other
