atlas_layer,dataset_type,source_table,source_row,dataset_label,dataset_group,source_repository,species,tissue_or_cell_type,condition,cells,cell_count_text,sequencing_technology,year,counting_rule,source,category,dataset,genes,sparsity_pct,cell_types,size_mb,Unnamed: 7,param_group,param_value,n_batches,n_groups,dataset_id,matrix_path_or_source,n_cells,n_genes,label_status,availability,planned_use
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,4003.0,,,,,real_detail,TI,TI/GSE103633/epidermis,4210.0,94.2,5.0,47.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,2338.0,,,,,real_detail,TI,TI/GSE103633/muscle,4210.0,94.7,3.0,27.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,2349.0,,,,,real_detail,TI,TI/GSE103633/neuron,4210.0,95.4,7.0,26.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,10578.0,,,,,real_detail,TI,TI/GSE103633/pair-1,4210.0,94.1,8.0,124.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,10653.0,,,,,real_detail,TI,TI/GSE103633/pair-2,4210.0,94.7,13.0,121.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,8589.0,,,,,real_detail,TI,TI/GSE103633/pair-3,4210.0,94.5,8.0,99.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,8960.0,,,,,real_detail,TI,TI/GSE103633/pair-4,4210.0,94.5,10.0,103.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1986.0,,,,,real_detail,TI,TI/GSE103633/parenchyme,4210.0,94.8,5.0,23.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,694.0,,,,,real_detail,TI,TI/GSE103633/phagocyte,4210.0,94.8,2.0,8.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,292.0,,,,,real_detail,TI,TI/GSE103633/pharynx,4210.0,94.9,2.0,4.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,348.0,,,,,real_detail,TI,TI/GSE74767/blastocyst,4320.0,45.8,13.0,15.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,182.0,,,,,real_detail,TI,TI/GSE74767/epiblast,4320.0,45.8,7.0,8.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,272.0,,,,,real_detail,TI,TI/GSE74767/ICM,4320.0,46.2,10.0,12.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,82.0,,,,,real_detail,TI,TI/GSE74767/trophectoderm,4320.0,39.7,3.0,4.0,,,,,,,,,,,,
manuscript_100_dataset_atlas,simulated,,,default_default,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,46.7,,68.0,,default,default,1.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,batch_0.2,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,46.5,,68.0,,batch,0.2,2.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,batch_0.4,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,49.0,,66.0,,batch,0.4,2.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,batch_0.6,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,52.3,,63.0,,batch,0.6,2.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,batch_0.8,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,55.9,,60.0,,batch,0.8,2.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,batch_1.0,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,60.1,,57.0,,batch,1.0,2.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,batch_2,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,46.6,,68.0,,batch,2,2.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,batch_4,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,46.8,,68.0,,batch,4,4.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,batch_6,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,47.0,,68.0,,batch,6,6.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,batch_8,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,46.3,,68.0,,batch,8,8.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,batch_10,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,46.6,,68.0,,batch,10,10.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,cell_100,,,,,,100.0,,,,,simulated_atlas,,,3000.0,43.0,,4.0,,cell,100,1.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,cell_500,,,,,,500.0,,,,,simulated_atlas,,,3000.0,45.8,,18.0,,cell,500,1.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,cell_1k,,,,,,1000.0,,,,,simulated_atlas,,,3000.0,47.0,,34.0,,cell,1k,1.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,cell_5k,,,,,,5000.0,,,,,simulated_atlas,,,3000.0,47.0,,169.0,,cell,5k,1.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,cell_1w,,,,,,10000.0,,,,,simulated_atlas,,,3000.0,46.9,,337.0,,cell,1w,1.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,cell_2w,,,,,,20000.0,,,,,simulated_atlas,,,3000.0,46.9,,674.0,,cell,2w,1.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,cell_3w,,,,,,30000.0,,,,,simulated_atlas,,,3000.0,47.6,,1002.0,,cell,3w,1.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,cell_4w,,,,,,40000.0,,,,,simulated_atlas,,,3000.0,47.6,,1335.0,,cell,4w,1.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,cell_5w,,,,,,50000.0,,,,,simulated_atlas,,,3000.0,46.1,,1700.0,,cell,5w,1.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,celltype_7,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,46.9,,68.0,,celltype,7,1.0,7.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,celltype_9,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,46.2,,68.0,,celltype,9,1.0,9.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,celltype_11,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,46.1,,68.0,,celltype,11,1.0,11.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,celltype_13,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,46.0,,69.0,,celltype,13,1.0,13.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,celltype_15,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,45.6,,69.0,,celltype,15,1.0,15.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,de_0.2,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,45.0,,69.0,,de,0.2,1.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,de_0.4,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,48.0,,67.0,,de,0.4,1.0,5.0,,,,,,,
manuscript_100_dataset_atlas,simulated,,,de_0.6,,,,,,2000.0,,,,,simulated_atlas,,,3000.0,50.5,,65.0,,de,0.6,1.0,5.0,,,,,,,
